[0:00:00 -> 0:00:02]  Say movie Mario.
[0:01:45 -> 0:01:47]  In the park.
[0:01:48 -> 0:01:50]  In the park? Let's see.
[0:01:51 -> 0:01:55]  In the park where we didn't go, where they play baseball.
[0:01:58 -> 0:02:00]  We didn't go on the day of the walk, I mean.
[0:02:01 -> 0:02:02]  No?
[0:02:02 -> 0:02:04]  Okay, but it's going to be in the park.
[0:02:04 -> 0:02:05]  We didn't go.
[0:02:06 -> 0:02:07]  It's going to be in the park.
[0:02:09 -> 0:02:11]  Let's see, and Dariel, what is he doing?
[0:02:12 -> 0:02:13]  It's perfect.
[0:02:13 -> 0:02:14]  You said it.
[0:02:14 -> 0:02:15]  Yes.
[0:02:16 -> 0:02:19]  But tell me, what's going to happen in the park?
[0:02:19 -> 0:02:22]  Explain to the teacher how the story is going to be.
[0:02:22 -> 0:02:24]  And we can change things.
[0:02:24 -> 0:02:26]  Tell him how you explained it to me.
[0:02:26 -> 0:02:27]  Let's see, Jaden.
[0:02:40 -> 0:02:43]  Well, we're going to make the dolls with plastic, right?
[0:02:44 -> 0:02:45]  No.
[0:02:45 -> 0:02:46]  How are we going to do it?
[0:02:46 -> 0:02:48]  Wait, maybe he has another idea, Dariel.
[0:02:49 -> 0:02:50]  Because he said no.
[0:02:51 -> 0:02:52]  Yes, yes, yes.
[0:02:52 -> 0:02:53]  Yes, yes, we're going to do it with plastic.
[0:02:53 -> 0:02:56]  We're going to make an Isis and we're going to make a Jaden.
[0:02:57 -> 0:02:59]  And what's going to happen? How is the action going to be?
[0:03:00 -> 0:03:01]  How is the action going to be?
[0:03:01 -> 0:03:03]  How is your stop motion going to be?
[0:03:03 -> 0:03:04]  What's going to happen first?
[0:03:04 -> 0:03:05]  What's going to happen first?
[0:03:09 -> 0:03:11]  Do you want to check what we wrote first?
[0:03:15 -> 0:03:17]  Can I take a picture of you?
[0:03:18 -> 0:03:19]  What did you write here?
[0:03:19 -> 0:03:20]  A lot of words.
[0:03:20 -> 0:03:23]  We're going to take a picture of your movie.
[0:03:24 -> 0:03:25]  Wait, first put it on.
[0:03:25 -> 0:03:26]  Now you can press it.
[0:03:27 -> 0:03:28]  Do you want to press it?
[0:03:29 -> 0:03:31]  Jaden, do you want to press the button?
[0:03:32 -> 0:03:33]  Here?
[0:03:33 -> 0:03:34]  I'll press it.
[0:03:34 -> 0:03:35]  Stand up and look there.
[0:03:36 -> 0:03:38]  There, perfect. Thank you.
[0:03:38 -> 0:03:40]  This is Jaden and Isis.
[0:03:41 -> 0:03:42]  Right?
[0:03:43 -> 0:03:44]  Can you tell me?
[0:03:46 -> 0:03:47]  What did they write there?
[0:03:47 -> 0:03:48]  Me?
[0:03:50 -> 0:03:51]  Isis?
[0:03:52 -> 0:03:54]  Me fighting Isis.
[0:03:55 -> 0:03:56]  Fighting Isis.
[0:03:56 -> 0:03:58]  Good title, right? Because that's the story.
[0:03:59 -> 0:04:02]  And what do you want to tell the people who see your story?
[0:04:03 -> 0:04:05]  What message are you giving as the author?
[0:04:05 -> 0:04:07]  You're the author of the story. What's your message?
[0:04:09 -> 0:04:10]  To the reader.
[0:04:12 -> 0:04:13]  There has to be a message, right?
[0:04:22 -> 0:04:23]  Let's see, Dariel.
[0:04:23 -> 0:04:24]  Can I take a picture of you?
[0:04:24 -> 0:04:26]  You're not done yet. I'll take a picture of you later.
[0:04:26 -> 0:04:28]  Yes, because the story is changing a bit.
[0:04:29 -> 0:04:30]  Tell me, Dariel.
[0:04:31 -> 0:04:33]  There's Mario coming with us to the pool.
[0:04:33 -> 0:04:34]  Can I use your eraser?
[0:04:34 -> 0:04:35]  Wait one second.
[0:04:36 -> 0:04:37]  I messed up.
[0:04:39 -> 0:04:40]  Thanks.
[0:04:41 -> 0:04:42]  Dariel and...
[0:04:43 -> 0:04:44]  Mario!
[0:04:46 -> 0:04:48]  Dariel and Mario, is that your title?
[0:04:49 -> 0:04:51]  No, here it says the title is The Bee.
[0:04:53 -> 0:04:55]  Is that the title of your story, Dariel?
[0:04:55 -> 0:04:57]  Dariel and Mario, is that your title?
[0:04:57 -> 0:04:59]  Yeah, mine is Mario too.
[0:04:59 -> 0:05:00]  You changed it.
[0:05:00 -> 0:05:02]  Mine is Mario too.
[0:05:02 -> 0:05:04]  Sorry, remind me your name.
[0:05:05 -> 0:05:06]  Mario.
[0:05:06 -> 0:05:07]  Remind me your name.
[0:05:08 -> 0:05:09]  Jordani, sorry, Jordani.
[0:05:09 -> 0:05:12]  Jordani, tell me. What are you looking for on the phone?
[0:05:13 -> 0:05:14]  I want to play Mario.
[0:05:14 -> 0:05:17]  You want to play Mario too? You already did it. It was really good.
[0:05:18 -> 0:05:20]  Yes, but I didn't like it.
[0:05:20 -> 0:05:21]  You didn't like it that much?
[0:05:23 -> 0:05:25]  I want to do an easy version.
[0:05:26 -> 0:05:27]  What?
[0:05:27 -> 0:05:28]  An easy version.
[0:05:28 -> 0:05:30]  An easy version to be able to draw it better.
[0:05:31 -> 0:05:32]  Can I get a color?
[0:05:33 -> 0:05:34]  Okay.
[0:05:35 -> 0:05:36]  And what is the story going to be?
[0:05:37 -> 0:05:38]  Have you thought about it?
[0:05:38 -> 0:05:40]  I don't care. I just want...
[0:05:43 -> 0:05:46]  But we said Mario was going to walk through where?
[0:05:46 -> 0:05:47]  Wait, let me see, let me see.
[0:05:48 -> 0:05:49]  No, actually I want...
[0:05:50 -> 0:05:51]  He's focused.
[0:05:52 -> 0:05:53]  I want red, yellow...
[0:05:54 -> 0:05:56]  Red, yellow and blue.
[0:05:57 -> 0:05:58]  Mario's colors.
[0:05:58 -> 0:05:59]  Yeah.
[0:05:59 -> 0:06:00]  Okay.
[0:06:01 -> 0:06:02]  And brown.
[0:06:02 -> 0:06:03]  What's going on in your story, Darién?
[0:06:04 -> 0:06:05]  Oh, that was a good one!
[0:06:07 -> 0:06:08]  That was a good one.
[0:06:08 -> 0:06:11]  Where is Mario? Mario's right here.
[0:06:12 -> 0:06:13]  That's a good part.
[0:06:13 -> 0:06:14]  Yes, it's really good.
[0:06:15 -> 0:06:17]  But you skipped this whole story.
[0:06:18 -> 0:06:19]  I'm gonna fix it.
[0:06:20 -> 0:06:21]  Tell me from the beginning.
[0:06:22 -> 0:06:23]  No, I mean, telling me what you want.
[0:06:23 -> 0:06:24]  I need also a brown.
[0:06:24 -> 0:06:25]  A brown.
[0:06:25 -> 0:06:26]  Brown.
[0:06:26 -> 0:06:27]  Brown.
[0:06:27 -> 0:06:28]  Brown.
[0:06:29 -> 0:06:31]  Tell me what happens in the first one.
[0:06:32 -> 0:06:34]  Okay, you tell me how it goes.
[0:06:35 -> 0:06:37]  You say you go to the beach with Mario.
[0:06:38 -> 0:06:39]  And with my other friend.
[0:06:40 -> 0:06:41]  With other friends?
[0:06:42 -> 0:06:43]  That are not from the video game?
[0:06:44 -> 0:06:45]  Not from the video game.
[0:06:46 -> 0:06:47]  Okay, people.
[0:06:47 -> 0:06:48]  Really.
[0:06:49 -> 0:06:50]  Really.
[0:06:50 -> 0:06:51]  And what are they going to do on the beach?
[0:06:51 -> 0:06:52]  What are they going to do on the beach?
[0:06:53 -> 0:06:54]  We are going to...
[0:07:07 -> 0:07:09]  Is there going to be a problem in your story or not?
[0:07:16 -> 0:07:17]  Is that Darién?
[0:07:18 -> 0:07:19]  Or you can't?
[0:07:19 -> 0:07:20]  You can't draw.
[0:07:31 -> 0:07:32]  Okay, tell me the story now.
[0:07:33 -> 0:07:36]  So, you go to the beach with Mario and other real people.
[0:07:37 -> 0:07:38]  All your friends.
[0:07:38 -> 0:07:39]  And what happens?
[0:07:40 -> 0:07:41]  Mario took off his hat here.
[0:07:42 -> 0:07:43]  He took off his hat here?
[0:07:43 -> 0:07:44]  On the three?
[0:07:45 -> 0:07:46]  This is the one.
[0:07:46 -> 0:07:47]  Can I put numbers?
[0:07:47 -> 0:07:48]  This is the two.
[0:07:48 -> 0:07:49]  Can I put a number here?
[0:07:50 -> 0:07:51]  This is the three, right?
[0:07:52 -> 0:07:53]  And this is the four.
[0:07:53 -> 0:07:54]  Okay.
[0:07:54 -> 0:07:55]  Can you explain to me about the three?
[0:07:56 -> 0:07:57]  Did he put his hat there?
[0:07:58 -> 0:07:59]  No, he took it off.
[0:07:59 -> 0:08:00]  He took off his hat.
[0:08:01 -> 0:08:02]  Ah, because he always wears it like this.
[0:08:02 -> 0:08:03]  Okay.
[0:08:04 -> 0:08:05]  This is...
[0:08:05 -> 0:08:06]  Look.
[0:08:12 -> 0:08:14]  Thirteen hours and more than two.
[0:08:14 -> 0:08:15]  He comes and goes without Mario.
[0:08:16 -> 0:08:17]  And now what is Mario going to do?
[0:08:18 -> 0:08:19]  Mario...
[0:08:22 -> 0:08:23]  This is Mario?
[0:08:24 -> 0:08:25]  And where is the hat now?
[0:08:26 -> 0:08:28]  Put it in red if you want it to look better.
[0:08:29 -> 0:08:30]  Like here, right?
[0:08:31 -> 0:08:32]  He put it in a box.
[0:08:33 -> 0:08:35]  Oh, it's not here in the scene, the hat is not shown.
[0:08:36 -> 0:08:37]  Okay.
[0:08:37 -> 0:08:38]  And what happens in the story?
[0:08:38 -> 0:08:39]  What is the problem in the story?
[0:08:40 -> 0:08:41]  Is there a problem or not?
[0:08:41 -> 0:08:42]  No.
[0:08:42 -> 0:08:43]  Okay.
[0:08:43 -> 0:08:44]  He's having fun and stuff.
[0:08:46 -> 0:08:47]  He's having a good time.
[0:08:47 -> 0:08:48]  He's having fun, you say?
[0:08:49 -> 0:08:51]  I love how you said it in English.
[0:08:52 -> 0:08:53]  Yes.
[0:08:54 -> 0:08:55]  There's water there.
[0:08:56 -> 0:08:57]  There's water.
[0:08:58 -> 0:08:59]  In the first one, what happens in the water?
[0:09:00 -> 0:09:01]  No, that's not water.
[0:09:01 -> 0:09:02]  It's a car.
[0:09:03 -> 0:09:04]  In the past...
[0:09:04 -> 0:09:05]  Oh, where is the water?
[0:09:06 -> 0:09:08]  Because you told me something about the water, right?
[0:09:09 -> 0:09:13]  Of course, you put it blue and I thought you were going to color it brown now.
[0:09:15 -> 0:09:16]  Better.
[0:09:18 -> 0:09:20]  And another car.
[0:09:21 -> 0:09:22]  And now...
[0:09:23 -> 0:09:24]  And where are they going to be?
[0:09:25 -> 0:09:27]  12 hours and 29 minutes.
[0:09:30 -> 0:09:32]  Another car.
[0:09:33 -> 0:09:36]  Behind the others.
[0:09:37 -> 0:09:38]  And he crashed it.
[0:09:39 -> 0:09:40]  He crashed it?
[0:09:40 -> 0:09:41]  Here in the number one?
[0:09:42 -> 0:09:44]  Yes, that's the only thing that happened.
[0:09:44 -> 0:09:47]  So you're going to do it with clay and you're going to make two cars that crash?
[0:09:48 -> 0:09:50]  Okay, and then what happens?
[0:09:51 -> 0:09:52]  They crash.
[0:09:53 -> 0:09:55]  That's the story, they crash and that's the end of the story?
[0:10:04 -> 0:10:05]  I'm going to see it in the clay.
[0:10:06 -> 0:10:08]  Okay, what's going to be the message of your story, Daniel?
[0:10:09 -> 0:10:11]  The name of my story is...
[0:10:18 -> 0:10:25]  Welcome to the Mario and Dario movie at the beginning.
[0:10:38 -> 0:10:40]  And you're going to make a stop motion movie.
[0:10:41 -> 0:10:42]  What do you want people to learn with your movie?
[0:10:43 -> 0:10:45]  Are you teaching them something or what is it for?
[0:10:46 -> 0:10:47]  Why are they watching this movie?
[0:10:48 -> 0:10:49]  Because...
[0:10:50 -> 0:10:51]  Because...
[0:10:52 -> 0:10:55]  He wanted to have fun, but then he crashed it.
[0:10:56 -> 0:10:59]  But then that made the car go faster and we got there faster.
[0:11:00 -> 0:11:01]  When it crashed, it went faster?
[0:11:02 -> 0:11:03]  Ah, it was a little push.
[0:11:04 -> 0:11:05]  It wasn't an accident, it was a push.
[0:11:05 -> 0:11:06]  It was a push.
[0:11:07 -> 0:11:09]  Because the car is made of strong metal.
[0:11:10 -> 0:11:14]  Oh, it's made of strong metal, so when you hit it, it didn't wrinkle, it didn't bend, it didn't break?
[0:11:15 -> 0:11:25]  It only sank a little bit, but the car behind it has a broken, broken, broken, broken.
[0:11:26 -> 0:11:28]  Aha, I see it there. Where is the broken one, here?
[0:11:29 -> 0:11:32]  No, here, the other car that crashed with this one.
[0:11:33 -> 0:11:34]  This one did break.
[0:11:35 -> 0:11:38]  Because the car is so strong.
[0:11:39 -> 0:11:40]  But the other one wasn't so strong and it broke.
[0:11:41 -> 0:11:43]  But you guys get to the beach really fast.
[0:11:44 -> 0:11:45]  Aha, because of the car.
[0:11:46 -> 0:11:51]  Ok, and then here, at number two, what happened?
[0:11:52 -> 0:11:54]  Ah, it's boring.
[0:11:55 -> 0:11:58]  Tell me your story, your story is boring.
[0:11:59 -> 0:12:03]  No, it's boring. This is boring, it's not so much.
[0:12:03 -> 0:12:05]  Ok, what do you want to tell me then?
[0:12:06 -> 0:12:15]  And then Mario is walking on the little, you know the little beaches, there's like these little walks before you enter the beach.
[0:12:16 -> 0:12:18]  Yes, yes, yes, on the rocks, like this, walking on the rocks.
[0:12:19 -> 0:12:26]  Yeah, and then now we're like going to the beach, and now, no, that's, now we're all in the sand, like we're all laying down.
[0:12:27 -> 0:12:29]  Oh, you're lying down, sunbathing?
[0:12:30 -> 0:12:31]  Yeah.
[0:12:31 -> 0:12:32]  Yeah, sunbathing, no?
[0:12:33 -> 0:12:34]  Ok.
[0:12:35 -> 0:12:36]  Just laying down.
[0:12:37 -> 0:12:38]  Just laying down.
[0:12:39 -> 0:12:40]  And there they are in the water, at number four.
[0:12:41 -> 0:12:42]  Aha, and, and the end.
[0:12:43 -> 0:12:44]  The end?
[0:12:45 -> 0:12:46]  They're going to swim and the story is over?
[0:12:47 -> 0:12:48]  This is going to be good.
[0:12:49 -> 0:12:50]  This is going to be what?
[0:12:51 -> 0:12:53]  These are extras, you don't need to fill them all up.
[0:12:54 -> 0:12:55]  Wow, look at this Super Mario.
[0:12:56 -> 0:13:00]  No, because the end of the movie is going to be all black.
[0:13:01 -> 0:13:02]  You're going to want to have it all black at the end?
[0:13:03 -> 0:13:04]  That's how your story ends?
[0:13:05 -> 0:13:06]  Very good, Daniel.
[0:13:07 -> 0:13:08]  Hi, what's your name?
[0:13:09 -> 0:13:10]  Luigi.
[0:13:11 -> 0:13:12]  L-I-J-O.
[0:13:13 -> 0:13:14]  Joan?
[0:13:15 -> 0:13:16]  Good question, Jordana.
[0:13:17 -> 0:13:18]  And who's this?
[0:13:19 -> 0:13:20]  Jean.
[0:13:21 -> 0:13:22]  He's a friend?
[0:13:23 -> 0:13:24]  Nadia.
[0:13:25 -> 0:13:26]  No, no, it's J.
[0:13:27 -> 0:13:28]  How is it, what's his name?
[0:13:29 -> 0:13:30]  Luigi.
[0:13:31 -> 0:13:32]  It's a G.
[0:13:33 -> 0:13:34]  Luigi.
[0:13:35 -> 0:13:36]  C.
[0:13:37 -> 0:13:38]  Let's see if we can get it.
[0:13:39 -> 0:13:40]  Isn't that Luigi?
[0:13:41 -> 0:13:42]  We have them.
[0:13:43 -> 0:13:45]  That looks like the old school Mario, kind of.
[0:13:47 -> 0:13:53]  You don't need to do it with so much detail, Jordana, because later with the plastic you won't be able to do it super, super detailed, right?
[0:13:54 -> 0:13:56]  Remember that later we're going to use another material.
[0:13:57 -> 0:13:59]  I can try by looking at the picture.
[0:13:59 -> 0:14:00]  When?
[0:14:01 -> 0:14:03]  I can try, because I can look at lines.
[0:14:04 -> 0:14:05]  It's beautiful.
[0:14:06 -> 0:14:07]  Is Lucas here today?
[0:14:08 -> 0:14:09]  Lucas, yes.
[0:14:10 -> 0:14:11]  Yes.
[0:14:15 -> 0:14:18]  Oh, we're going to use the plastic, Tina, after when we clean off.
[0:14:19 -> 0:14:22]  I think you'll do it the next day, Jordana.
[0:14:23 -> 0:14:24]  Have you thought about your story?
[0:14:25 -> 0:14:26]  Do you remember?
[0:14:27 -> 0:14:28]  You still haven't thought about your story.
[0:14:29 -> 0:14:30]  What's that?
[0:14:31 -> 0:14:32]  Luigi is Mario's partner.
[0:14:33 -> 0:14:34]  No, it's his brother.
[0:14:35 -> 0:14:36]  It's his brother?
[0:14:37 -> 0:14:38]  Yes, his brother.
[0:14:59 -> 0:15:07]  You know Mario? In the movie Mario is jumping over stuff to get to the owner's house to fix something.
[0:15:08 -> 0:15:09]  Like jumping over stuff.
[0:15:10 -> 0:15:12]  Well, Mario jumps in the video game, right?
[0:15:13 -> 0:15:15]  No, but his brother, it was in the movie.
[0:15:16 -> 0:15:17]  Okay.
[0:15:18 -> 0:15:19]  It was Mario's brother that I see.
[0:15:20 -> 0:15:21]  Oh, it's hot.
[0:15:22 -> 0:15:25]  Oh, it's the last movie that came out. Have you seen it?
[0:15:26 -> 0:15:28]  I'm going to go with my son to see who's there.
[0:15:29 -> 0:15:37]  He's tired because he was running because the car was damaged.
[0:15:38 -> 0:15:39]  Okay.
[0:15:40 -> 0:15:42]  And this is going to be your story?
[0:15:43 -> 0:15:44]  Yes.
[0:15:45 -> 0:15:46]  This is your story, right?
[0:15:47 -> 0:15:50]  Don't put so much detail because it's going to take too long.
[0:15:51 -> 0:15:53]  This is just the planning of your story, right, Jordana?
[0:15:54 -> 0:15:55]  Yes.
[0:15:56 -> 0:15:57]  Jump, right?
[0:15:57 -> 0:15:58]  No?
[0:15:59 -> 0:16:00]  Okay, let me see.
[0:16:01 -> 0:16:02]  Fixing, fixing.
[0:16:03 -> 0:16:04]  Fixing things?
[0:16:05 -> 0:16:06]  Fix, fix.
[0:16:07 -> 0:16:08]  That's what I like.
[0:16:09 -> 0:16:10]  Fix.
[0:16:11 -> 0:16:12]  X?
[0:16:13 -> 0:16:14]  Fixing.
[0:16:15 -> 0:16:16]  Ing, ing.
[0:16:17 -> 0:16:18]  Fixing.
[0:16:19 -> 0:16:20]  Fixing.
[0:16:21 -> 0:16:22]  Can you say the characters?
[0:16:23 -> 0:16:24]  Fixing.
[0:16:25 -> 0:16:26]  Fixing.
[0:16:27 -> 0:16:29]  Alright, so Mario is fixing.
[0:16:30 -> 0:16:31]  He jumped and he's fixing.
[0:16:32 -> 0:16:33]  Fixing.
[0:16:34 -> 0:16:35]  Give us your moment.
[0:16:36 -> 0:16:37]  Okay, alright.
[0:16:38 -> 0:16:40]  And, uh, Dariel is swimming.
[0:16:41 -> 0:16:42]  Fix, fix.
[0:16:43 -> 0:16:44]  Fix.
[0:16:45 -> 0:16:46]  No.
[0:16:47 -> 0:16:48]  This is the ending.
[0:16:49 -> 0:16:50]  Like the scream goes black.
[0:16:51 -> 0:16:52]  This is when they're swimming.
[0:16:52 -> 0:16:54]  Yes, and here when it comes out at the end it says,
[0:16:55 -> 0:16:58]  Director, Dariel, Producer, Dariel.
[0:16:59 -> 0:17:01]  And, uh, Dariel.
[0:17:02 -> 0:17:03]  Can I take a picture of your work?
[0:17:04 -> 0:17:05]  Everything Dariel.
[0:17:06 -> 0:17:08]  But I'm going to see how far you go.
[0:17:09 -> 0:17:11]  I'm going to do the second part.
[0:17:12 -> 0:17:14]  But Dariel, I mean, yes, Dariel.
[0:17:15 -> 0:17:16]  Okay.
[0:17:17 -> 0:17:18]  Fighting.
[0:17:19 -> 0:17:20]  Who's fighting?
[0:17:20 -> 0:17:21]  Who's fighting?
[0:17:22 -> 0:17:23]  Thank you, Dario.
[0:17:26 -> 0:17:27]  Let's see who's here.
[0:17:28 -> 0:17:31]  There's Lucas, there's Chloe, there's Marin.
[0:17:32 -> 0:17:33]  No, no.
[0:17:34 -> 0:17:35]  Kelsey.
[0:17:36 -> 0:17:38]  There's Pepita.
[0:17:39 -> 0:17:40]  Kaylee.
[0:17:41 -> 0:17:43]  And Jeremy.
[0:17:44 -> 0:17:45]  And Marin.
[0:17:46 -> 0:17:47]  And there's a lot of people.
[0:17:47 -> 0:17:48]  Seriously?
[0:17:49 -> 0:17:50]  Let's see what they're doing.
[0:17:51 -> 0:17:52]  Nothing.
[0:17:53 -> 0:17:54]  So we had a story.
[0:17:55 -> 0:17:56]  Tell me, Kelsey.
[0:17:57 -> 0:17:58]  Okay.
[0:17:59 -> 0:18:00]  Tell me, Kelsey.
[0:18:01 -> 0:18:02]  I'm going to take a picture of your plastic.
[0:18:03 -> 0:18:07]  The story is about when we were stealing Squishmallows.
[0:18:08 -> 0:18:09]  And we got arrested.
[0:18:10 -> 0:18:11]  What?
[0:18:12 -> 0:18:13]  We're stealing Squishmallows.
[0:18:14 -> 0:18:15]  Me and Kelsey are stealing Squishmallows.
[0:18:15 -> 0:18:17]  We're stealing marshmallows?
[0:18:18 -> 0:18:19]  Squishmallows?
[0:18:20 -> 0:18:21]  Yeah, Squishmallows.
[0:18:22 -> 0:18:24]  It's like a little teddy bear and it has faces.
[0:18:25 -> 0:18:26]  These are the green and the pink faces?
[0:18:27 -> 0:18:28]  Yeah.
[0:18:29 -> 0:18:30]  All these, you're stealing them?
[0:18:31 -> 0:18:32]  Yeah.
[0:18:33 -> 0:18:34]  And we got arrested.
[0:18:35 -> 0:18:36]  But you know, you can make them like three-dimensional.
[0:18:37 -> 0:18:38]  Like you can make them stand up.
[0:18:39 -> 0:18:40]  Because we're going to have like a little box.
[0:18:41 -> 0:18:42]  You're going to put them inside.
[0:18:45 -> 0:18:46]  But you have all this work done.
[0:18:47 -> 0:18:49]  But from now on, you can make them like standing up if you like.
[0:18:50 -> 0:18:52]  It's going to be three-dimensional.
[0:18:55 -> 0:18:56]  So tell me more, Kelsey, about this story.
[0:18:57 -> 0:18:58]  What happens then?
[0:18:59 -> 0:19:00]  Somebody comes and tells you what are you doing?
[0:19:01 -> 0:19:02]  Yeah, and then we got arrested.
[0:19:03 -> 0:19:04]  No.
[0:19:05 -> 0:19:06]  And then we get arrested.
[0:19:07 -> 0:19:08]  And then we get arrested.
[0:19:09 -> 0:19:10]  And then we get arrested.
[0:19:11 -> 0:19:12]  And then we get arrested.
[0:19:13 -> 0:19:14]  No, we feel happy.
[0:19:15 -> 0:19:16]  Oh, you feel happy?
[0:19:17 -> 0:19:18]  How do you feel happy?
[0:19:19 -> 0:19:20]  Because you got arrested?
[0:19:21 -> 0:19:22]  Because you deserve it?
[0:19:25 -> 0:19:26]  Who are you stealing in the story?
[0:19:27 -> 0:19:28]  Who are you?
[0:19:29 -> 0:19:30]  Kaylee and you?
[0:19:31 -> 0:19:32]  So you're in this story.
[0:19:33 -> 0:19:34]  And where does the story take place?
[0:19:35 -> 0:19:36]  What image are you going to make?
[0:19:37 -> 0:19:38]  In Target?
[0:19:39 -> 0:19:40]  In Target, are you going to be stealing the dolls?
[0:19:41 -> 0:19:42]  Chloe is also there?
[0:19:43 -> 0:19:44]  Yeah, Chloe wants to be there.
[0:19:45 -> 0:19:46]  Why?
[0:19:47 -> 0:19:48]  I don't know.
[0:19:49 -> 0:19:50]  It's okay.
[0:19:51 -> 0:19:52]  What happened?
[0:19:53 -> 0:19:54]  Did they erase Chloe's name?
[0:19:55 -> 0:19:56]  Too many people?
[0:19:57 -> 0:19:58]  Well, what is Chloe going to do?
[0:19:59 -> 0:20:00]  She has to have a role.
[0:20:01 -> 0:20:02]  She did it!
[0:20:03 -> 0:20:04]  I don't know what she did.
[0:20:05 -> 0:20:06]  But what did you do?
[0:20:07 -> 0:20:08]  Can you be the police?
[0:20:09 -> 0:20:10]  Who do you want to be, Chloe?
[0:20:11 -> 0:20:12]  What are you going to do?
[0:20:12 -> 0:20:15]  Because Kaylee wanted to not have so many people.
[0:20:19 -> 0:20:21]  Chloe, what are you going to do?
[0:20:22 -> 0:20:23]  She's the police officer!
[0:20:24 -> 0:20:25]  She's the police officer!
[0:20:26 -> 0:20:27]  Wait, what does Chloe say? I can't hear her.
[0:20:28 -> 0:20:29]  Tell me, honey.
[0:20:30 -> 0:20:31]  She's gone.
[0:20:32 -> 0:20:33]  What did you say, Kelsey?
[0:20:34 -> 0:20:35]  Her name is Kelsey, I'm Kaylee.
[0:20:36 -> 0:20:37]  Oh, sorry, Kelsey.
[0:20:38 -> 0:20:39]  Kaylee, no.
[0:20:40 -> 0:20:41]  Kaylee, no?
[0:20:42 -> 0:20:43]  Kaylee, what were you saying?
[0:20:44 -> 0:20:45]  What can Chloe do?
[0:20:46 -> 0:20:48]  She's going to be the police officer and arrest us.
[0:20:49 -> 0:20:50]  Do you think she'll like that role?
[0:20:51 -> 0:20:52]  We have to ask her.
[0:20:53 -> 0:20:55]  But we don't have anymore, um, wait, we just have these colors.
[0:20:56 -> 0:20:57]  How do you make them?
[0:20:58 -> 0:21:00]  Well, we can imagine that there are many colors.
[0:21:01 -> 0:21:03]  This is Chloe's skin color, a little bit similar.
[0:21:04 -> 0:21:05]  No?
[0:21:07 -> 0:21:09]  Okay, and what's going to happen after you get arrested?
[0:21:10 -> 0:21:14]  We go to jail, we have to, um, people have to take us.
[0:21:16 -> 0:21:17]  They're going to take you to jail?
[0:21:18 -> 0:21:19]  To the children's jail, I hope.
[0:21:20 -> 0:21:22]  Oh my God, what a sad story.
[0:21:23 -> 0:21:25]  Okay, and what happens when they take you to jail?
[0:21:26 -> 0:21:27]  I don't know.
[0:21:28 -> 0:21:29]  How do you solve the problem?
[0:21:30 -> 0:21:33]  The problem is that they've stolen your dolls and they take them to jail,
[0:21:34 -> 0:21:35]  the police officer, Chloe.
[0:21:36 -> 0:21:37]  And then what happens?
[0:21:37 -> 0:21:40]  They're trying to teach a message to the person watching your movie, right?
