   0 [   0.00 ->    2.00] Say movie Mario.
   1 [   6.00 ->    7.00] Tell me.
   2 [   7.00 ->    9.00] Tell me what you are doing.
   3 [  13.00 ->   15.00] What do you mean? Aren't you planning your stop motion?
   4 [  15.00 ->   16.00] Yes.
   5 [  16.00 ->   18.00] Movie? Let's see how it goes.
   6 [  18.00 ->   21.00] Here. Remember here we are going to change the story?
   7 [  21.00 ->   22.00] Yes.
   8 [  22.00 ->   24.00] Remember here we are going to change here?
   9 [  24.00 ->   26.00] We have to reconcile.
  10 [  27.00 ->   29.00] It's Aiden, right?
  11 [  29.00 ->   31.00] Yes, it's Aiden.
  12 [  31.00 ->   37.00] Because he made a story where they fight with Isis.
  13 [  37.00 ->   40.00] Aha, this is Aiden and this is Isis?
  14 [  40.00 ->   41.00] Yes.
  15 [  41.00 ->   43.00] Isis made it, not me.
  16 [  43.00 ->   45.00] Oh, Isis.
  17 [  45.00 ->   47.00] Isis made the story, not me.
  18 [  47.00 ->   48.00] She made the story?
  19 [  48.00 ->   49.00] Yes.
  20 [  49.00 ->   50.00] Last week?
  21 [  50.00 ->   52.00] No, before the break.
  22 [  52.00 ->   53.00] Before the break?
  23 [  53.00 ->   54.00] Before the break.
  24 [  54.00 ->   56.00] Aha, but do you remember what it was?
  25 [  56.00 ->   60.00] In the end, he said they were going to get angry.
  26 [  60.00 ->   64.00] So we were talking about when we fight with our friends,
  27 [  64.00 ->   68.00] if we get angry or reconcile.
  28 [  70.00 ->   72.00] Tell me, Jaira, didn't you like this story?
  29 [  72.00 ->   74.00] Didn't you want this story?
  30 [  74.00 ->   75.00] Or do you want to finish it?
  31 [  75.00 ->   78.00] Because you say that Isis was the one who made it.
  32 [  78.00 ->   80.00] We can change it.
  33 [  80.00 ->   83.00] Tell me, tell me the story.
  34 [  83.00 ->   86.00] Do you like the story, Jaira? Tell me.
  35 [  88.00 ->   90.00] Is this story important to you or not?
  36 [  90.00 ->   91.00] Yes.
  37 [  91.00 ->   93.00] It has to be important to you. Why?
  38 [  94.00 ->   96.00] Jordani said he's going to do the walk.
  39 [  96.00 ->   98.00] Why is it important to you?
  40 [  99.00 ->  102.00] What are you going to put? Are you going to put something from the community in your box for the story?
  41 [ 102.00 ->  103.00] No.
 215 [ 521.00 ->  522.00] No.
 216 [ 522.00 ->  523.00] Okay.
 217 [ 523.00 ->  524.00] He's having fun and stuff.
 218 [ 526.00 ->  527.00] He's having a good time.
 219 [ 527.00 ->  528.00] He's having fun, you say?
 220 [ 529.00 ->  531.00] I love how you said it in English.
 221 [ 532.00 ->  533.00] Yes.
 222 [ 534.00 ->  535.00] There's water there.
 223 [ 536.00 ->  537.00] There's water.
 224 [ 538.00 ->  539.00] In the first one, what happens in the water?
 225 [ 540.00 ->  541.00] No, that's not water.
 226 [ 541.00 ->  542.00] It's a car.
 227 [ 543.00 ->  544.00] In the past...
 228 [ 544.00 ->  545.00] Oh, where is the water?
 229 [ 546.00 ->  548.00] Because you told me something about the water, right?
 230 [ 549.00 ->  553.00] Of course, you put it blue and I thought you were going to color it brown now.
 231 [ 555.00 ->  556.00] Better.
 232 [ 558.00 ->  560.00] And another car.
 233 [ 561.00 ->  562.00] And now...
 234 [ 563.00 ->  564.00] And where are they going to be?
 235 [ 565.00 ->  567.00] 12 hours and 29 minutes.
 236 [ 570.00 ->  572.00] Another car.
 237 [ 573.00 ->  576.00] Behind the others.
 238 [ 577.00 ->  578.00] And he crashed it.
 239 [ 579.00 ->  580.00] He crashed it?
 240 [ 580.00 ->  581.00] Here in the number one?
 241 [ 582.00 ->  584.00] Yes, that's the only thing that happened.
 242 [ 584.00 ->  587.00] So you're going to do it with clay and you're going to make two cars that crash?
 243 [ 588.00 ->  590.00] Okay, and then what happens?
 244 [ 591.00 ->  592.00] They crash.
 245 [ 593.00 ->  595.00] That's the story, they crash and that's the end of the story?
 246 [ 604.00 ->  605.00] I'm going to see it in the clay.
 247 [ 606.00 ->  608.00] Okay, what's going to be the message of your story, Daniel?
 248 [ 609.00 ->  611.00] The name of my story is...
 249 [ 618.00 ->  625.00] Welcome to the Mario and Dario movie at the beginning.
 250 [ 638.00 ->  640.00] And you're going to make a stop motion movie.
 251 [ 641.00 ->  642.00] What do you want people to learn with your movie?
 252 [ 643.00 ->  645.00] Are you teaching them something or what is it for?
 253 [ 646.00 ->  647.00] Why are they watching this movie?
 254 [ 648.00 ->  649.00] Because...
 255 [ 650.00 ->  651.00] Because...
 256 [ 652.00 ->  655.00] He wanted to have fun, but then he crashed it.
 257 [ 656.00 ->  659.00] But then that made the car go faster and we got there faster.
 258 [ 660.00 ->  661.00] When it crashed, it went faster?
 259 [ 662.00 ->  663.00] Ah, it was a little push.
 260 [ 664.00 ->  665.00] It wasn't an accident, it was a push.
 261 [ 665.00 ->  666.00] It was a push.
 262 [ 667.00 ->  669.00] Because the car is made of strong metal.
 263 [ 670.00 ->  674.00] Oh, it's made of strong metal, so when you hit it, it didn't wrinkle, it didn't bend, it didn't break?
 264 [ 675.00 ->  685.00] It only sank a little bit, but the car behind it has a broken, broken, broken, broken.
 265 [ 686.00 ->  688.00] Aha, I see it there. Where is the broken one, here?
 266 [ 689.00 ->  692.00] No, here, the other car that crashed with this one.
 267 [ 693.00 ->  694.00] This one did break.
 268 [ 695.00 ->  698.00] Because the car is so strong.
 269 [ 699.00 ->  700.00] But the other one wasn't so strong and it broke.
 270 [ 701.00 ->  703.00] But you guys get to the beach really fast.
 271 [ 704.00 ->  705.00] Aha, because of the car.
 272 [ 706.00 ->  711.00] Ok, and then here, at number two, what happened?
 273 [ 712.00 ->  714.00] Ah, it's boring.
 274 [ 715.00 ->  718.00] Tell me your story, your story is boring.
 275 [ 719.00 ->  723.00] No, it's boring. This is boring, it's not so much.
 276 [ 723.00 ->  725.00] Ok, what do you want to tell me then?
 277 [ 726.00 ->  735.00] And then Mario is walking on the little, you know the little beaches, there's like these little walks before you enter the beach.
 278 [ 736.00 ->  738.00] Yes, yes, yes, on the rocks, like this, walking on the rocks.
 279 [ 739.00 ->  746.00] Yeah, and then now we're like going to the beach, and now, no, that's, now we're all in the sand, like we're all laying down.
 280 [ 747.00 ->  749.00] Oh, you're lying down, sunbathing?
 281 [ 750.00 ->  751.00] Yeah.
 282 [ 751.00 ->  752.00] Yeah, sunbathing, no?
 283 [ 753.00 ->  754.00] Ok.
 284 [ 755.00 ->  756.00] Just laying down.
 285 [ 757.00 ->  758.00] Just laying down.
 286 [ 759.00 ->  760.00] And there they are in the water, at number four.
 287 [ 761.00 ->  762.00] Aha, and, and the end.
 288 [ 763.00 ->  764.00] The end?
 289 [ 765.00 ->  766.00] They're going to swim and the story is over?
 290 [ 767.00 ->  768.00] This is going to be good.
 291 [ 769.00 ->  770.00] This is going to be what?
 292 [ 771.00 ->  773.00] These are extras, you don't need to fill them all up.
 293 [ 774.00 ->  775.00] Wow, look at this Super Mario.
 294 [ 776.00 ->  780.00] No, because the end of the movie is going to be all black.
 295 [ 781.00 ->  782.00] You're going to want to have it all black at the end?
 296 [ 783.00 ->  784.00] That's how your story ends?
 297 [ 785.00 ->  786.00] Very good, Daniel.
 298 [ 787.00 ->  788.00] Hi, what's your name?
 299 [ 789.00 ->  790.00] Luigi.
 300 [ 791.00 ->  792.00] L-I-J-O.
 301 [ 793.00 ->  794.00] Joan?
 302 [ 795.00 ->  796.00] Good question, Jordana.
 303 [ 797.00 ->  798.00] And who's this?
 304 [ 799.00 ->  800.00] Jean.
 305 [ 801.00 ->  802.00] He's a friend?
 306 [ 803.00 ->  804.00] Nadia.
 307 [ 805.00 ->  806.00] No, no, it's J.
 308 [ 807.00 ->  808.00] How is it, what's his name?
 309 [ 809.00 ->  810.00] Luigi.
 310 [ 811.00 ->  812.00] It's a G.
 311 [ 813.00 ->  814.00] Luigi.
 312 [ 815.00 ->  816.00] C.
 313 [ 817.00 ->  818.00] Let's see if we can get it.
 314 [ 819.00 ->  820.00] Isn't that Luigi?
 315 [ 821.00 ->  822.00] We have them.
 316 [ 823.00 ->  825.00] That looks like the old school Mario, kind of.
 317 [ 827.00 ->  833.00] You don't need to do it with so much detail, Jordana, because later with the plastic you won't be able to do it super, super detailed, right?
 318 [ 834.00 ->  836.00] Remember that later we're going to use another material.
 319 [ 837.00 ->  839.00] I can try by looking at the picture.
 320 [ 839.00 ->  840.00] When?
 321 [ 841.00 ->  843.00] I can try, because I can look at lines.
 322 [ 844.00 ->  845.00] It's beautiful.
 323 [ 846.00 ->  847.00] Is Lucas here today?
 324 [ 848.00 ->  849.00] Lucas, yes.
 325 [ 850.00 ->  851.00] Yes.
 326 [ 855.00 ->  858.00] Oh, we're going to use the plastic, Tina, after when we clean off.
 327 [ 859.00 ->  862.00] I think you'll do it the next day, Jordana.
 328 [ 863.00 ->  864.00] Have you thought about your story?
 329 [ 865.00 ->  866.00] Do you remember?
 330 [ 867.00 ->  868.00] You still haven't thought about your story.
 331 [ 869.00 ->  870.00] What's that?
 332 [ 871.00 ->  872.00] Luigi is Mario's partner.
 333 [ 873.00 ->  874.00] No, it's his brother.
 334 [ 875.00 ->  876.00] It's his brother?
 335 [ 877.00 ->  878.00] Yes, his brother.
 336 [ 899.00 ->  907.00] You know Mario? In the movie Mario is jumping over stuff to get to the owner's house to fix something.
 337 [ 908.00 ->  909.00] Like jumping over stuff.
 338 [ 910.00 ->  912.00] Well, Mario jumps in the video game, right?
 339 [ 913.00 ->  915.00] No, but his brother, it was in the movie.
 340 [ 916.00 ->  917.00] Okay.
 341 [ 918.00 ->  919.00] It was Mario's brother that I see.
 342 [ 920.00 ->  921.00] Oh, it's hot.
 343 [ 922.00 ->  925.00] Oh, it's the last movie that came out. Have you seen it?
 344 [ 926.00 ->  928.00] I'm going to go with my son to see who's there.
 345 [ 929.00 ->  937.00] He's tired because he was running because the car was damaged.
 346 [ 938.00 ->  939.00] Okay.
 347 [ 940.00 ->  942.00] And this is going to be your story?
 348 [ 943.00 ->  944.00] Yes.
 349 [ 945.00 ->  946.00] This is your story, right?
 350 [ 947.00 ->  950.00] Don't put so much detail because it's going to take too long.
 351 [ 951.00 ->  953.00] This is just the planning of your story, right, Jordana?
 352 [ 954.00 ->  955.00] Yes.
 353 [ 956.00 ->  957.00] Jump, right?
 354 [ 957.00 ->  958.00] No?
 355 [ 959.00 ->  960.00] Okay, let me see.
 356 [ 961.00 ->  962.00] Fixing, fixing.
 357 [ 963.00 ->  964.00] Fixing things?
 358 [ 965.00 ->  966.00] Fix, fix.
 359 [ 967.00 ->  968.00] That's what I like.
 360 [ 969.00 ->  970.00] Fix.
 361 [ 971.00 ->  972.00] X?
 362 [ 973.00 ->  974.00] Fixing.
 363 [ 975.00 ->  976.00] Ing, ing.
 364 [ 977.00 ->  978.00] Fixing.
 365 [ 979.00 ->  980.00] Fixing.
 366 [ 981.00 ->  982.00] Can you say the characters?
 367 [ 983.00 ->  984.00] Fixing.
 368 [ 985.00 ->  986.00] Fixing.
 369 [ 987.00 ->  989.00] Alright, so Mario is fixing.
 370 [ 990.00 ->  991.00] He jumped and he's fixing.
 371 [ 992.00 ->  993.00] Fixing.
 372 [ 994.00 ->  995.00] Give us your moment.
 373 [ 996.00 ->  997.00] Okay, alright.
 374 [ 998.00 -> 1000.00] And, uh, Dariel is swimming.
 375 [1001.00 -> 1002.00] Fix, fix.
 376 [1003.00 -> 1004.00] Fix.
 377 [1005.00 -> 1006.00] No.
 378 [1007.00 -> 1008.00] This is the ending.
 379 [1009.00 -> 1010.00] Like the scream goes black.
 380 [1011.00 -> 1012.00] This is when they're swimming.
 381 [1012.00 -> 1014.00] Yes, and here when it comes out at the end it says,
 382 [1015.00 -> 1018.00] Director, Dariel, Producer, Dariel.
 383 [1019.00 -> 1021.00] And, uh, Dariel.
 384 [1022.00 -> 1023.00] Can I take a picture of your work?
 385 [1024.00 -> 1025.00] Everything Dariel.
 386 [1026.00 -> 1028.00] But I'm going to see how far you go.
 387 [1029.00 -> 1031.00] I'm going to do the second part.
 388 [1032.00 -> 1034.00] But Dariel, I mean, yes, Dariel.
 389 [1035.00 -> 1036.00] Okay.
 390 [1037.00 -> 1038.00] Fighting.
 391 [1039.00 -> 1040.00] Who's fighting?
 392 [1040.00 -> 1041.00] Who's fighting?
 393 [1042.00 -> 1043.00] Thank you, Dario.
 394 [1046.00 -> 1047.00] Let's see who's here.
 395 [1048.00 -> 1051.00] There's Lucas, there's Chloe, there's Marin.
 396 [1052.00 -> 1053.00] No, no.
 397 [1054.00 -> 1055.00] Kelsey.
 398 [1056.00 -> 1058.00] There's Pepita.
 399 [1059.00 -> 1060.00] Kaylee.
 400 [1061.00 -> 1063.00] And Jeremy.
 401 [1064.00 -> 1065.00] And Marin.
 402 [1066.00 -> 1067.00] And there's a lot of people.
 403 [1067.00 -> 1068.00] Seriously?
 404 [1069.00 -> 1070.00] Let's see what they're doing.
 405 [1071.00 -> 1072.00] Nothing.
 406 [1073.00 -> 1074.00] So we had a story.
 407 [1075.00 -> 1076.00] Tell me, Kelsey.
 408 [1077.00 -> 1078.00] Okay.
 409 [1079.00 -> 1080.00] Tell me, Kelsey.
 410 [1081.00 -> 1082.00] I'm going to take a picture of your plastic.
 411 [1083.00 -> 1087.00] The story is about when we were stealing Squishmallows.
 412 [1088.00 -> 1089.00] And we got arrested.
 413 [1090.00 -> 1091.00] What?
 414 [1092.00 -> 1093.00] We're stealing Squishmallows.
 415 [1094.00 -> 1095.00] Me and Kelsey are stealing Squishmallows.
 416 [1095.00 -> 1097.00] We're stealing marshmallows?
 417 [1098.00 -> 1099.00] Squishmallows?
 418 [1100.00 -> 1101.00] Yeah, Squishmallows.
 419 [1102.00 -> 1104.00] It's like a little teddy bear and it has faces.
 420 [1105.00 -> 1106.00] These are the green and the pink faces?
 421 [1107.00 -> 1108.00] Yeah.
 422 [1109.00 -> 1110.00] All these, you're stealing them?
 423 [1111.00 -> 1112.00] Yeah.
 424 [1113.00 -> 1114.00] And we got arrested.
 425 [1115.00 -> 1116.00] But you know, you can make them like three-dimensional.
 426 [1117.00 -> 1118.00] Like you can make them stand up.
 427 [1119.00 -> 1120.00] Because we're going to have like a little box.
 428 [1121.00 -> 1122.00] You're going to put them inside.
 429 [1125.00 -> 1126.00] But you have all this work done.
 430 [1127.00 -> 1129.00] But from now on, you can make them like standing up if you like.
 431 [1130.00 -> 1132.00] It's going to be three-dimensional.
 432 [1135.00 -> 1136.00] So tell me more, Kelsey, about this story.
 433 [1137.00 -> 1138.00] What happens then?
 434 [1139.00 -> 1140.00] Somebody comes and tells you what are you doing?
 435 [1141.00 -> 1142.00] Yeah, and then we got arrested.
 436 [1143.00 -> 1144.00] No.
 437 [1145.00 -> 1146.00] And then we get arrested.
 438 [1147.00 -> 1148.00] And then we get arrested.
 439 [1149.00 -> 1150.00] And then we get arrested.
 440 [1151.00 -> 1152.00] And then we get arrested.
 441 [1153.00 -> 1154.00] No, we feel happy.
 442 [1155.00 -> 1156.00] Oh, you feel happy?
 443 [1157.00 -> 1158.00] How do you feel happy?
 444 [1159.00 -> 1160.00] Because you got arrested?
 445 [1161.00 -> 1162.00] Because you deserve it?
 446 [1165.00 -> 1166.00] Who are you stealing in the story?
 447 [1167.00 -> 1168.00] Who are you?
 448 [1169.00 -> 1170.00] Kaylee and you?
 449 [1171.00 -> 1172.00] So you're in this story.
 450 [1173.00 -> 1174.00] And where does the story take place?
 451 [1175.00 -> 1176.00] What image are you going to make?
 452 [1177.00 -> 1178.00] In Target?
 453 [1179.00 -> 1180.00] In Target, are you going to be stealing the dolls?
 454 [1181.00 -> 1182.00] Chloe is also there?
 455 [1183.00 -> 1184.00] Yeah, Chloe wants to be there.
 456 [1185.00 -> 1186.00] Why?
 457 [1187.00 -> 1188.00] I don't know.
 458 [1189.00 -> 1190.00] It's okay.
 459 [1191.00 -> 1192.00] What happened?
 460 [1193.00 -> 1194.00] Did they erase Chloe's name?
 461 [1195.00 -> 1196.00] Too many people?
 462 [1197.00 -> 1198.00] Well, what is Chloe going to do?
 463 [1199.00 -> 1200.00] She has to have a role.
 464 [1201.00 -> 1202.00] She did it!
 465 [1203.00 -> 1204.00] I don't know what she did.
 466 [1205.00 -> 1206.00] But what did you do?
 467 [1207.00 -> 1208.00] Can you be the police?
