~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
 Starting en transcription...
 Time : 00:51:07________
 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~

C:\Users\mattt\AppData\Local\Programs\Python\Python38\lib\site-packages\whisper\transcribe.py:114: UserWarning: FP16 is not supported on CPU; using FP32 instead
  warnings.warn("FP16 is not supported on CPU; using FP32 instead")
[00:00.000 --> 00:02.000]  Say movie Mario.
[09:42.000 --> 09:44.000]  Yes, that's the only thing that happened.
[09:44.000 --> 09:47.000]  So you're going to do it with clay and you're going to make two cars that crash?
[09:48.000 --> 09:50.000]  Okay, and then what happens?
[09:51.000 --> 09:52.000]  They crash.
[09:53.000 --> 09:55.000]  That's the story, they crash and that's the end of the story?
[10:04.000 --> 10:05.000]  I'm going to see it in the clay.
[10:06.000 --> 10:08.000]  Okay, what's going to be the message of your story, Daniel?
[10:09.000 --> 10:11.000]  The name of my story is...
[10:18.000 --> 10:25.000]  Welcome to the Mario and Dario movie at the beginning.
[10:38.000 --> 10:40.000]  And you're going to make a stop motion movie.
[10:41.000 --> 10:42.000]  What do you want people to learn with your movie?
[10:43.000 --> 10:45.000]  Are you teaching them something or what is it for?
[10:46.000 --> 10:47.000]  Why are they watching this movie?
[10:48.000 --> 10:49.000]  Because...
[10:50.000 --> 10:51.000]  Because...
[10:52.000 --> 10:55.000]  He wanted to have fun, but then he crashed it.
[10:56.000 --> 10:59.000]  But then that made the car go faster and we got there faster.
[11:00.000 --> 11:01.000]  When it crashed, it went faster?
[11:02.000 --> 11:03.000]  Ah, it was a little push.
[11:04.000 --> 11:05.000]  It wasn't an accident, it was a push.
[11:05.000 --> 11:06.000]  It was a push.
[11:07.000 --> 11:09.000]  Because the car is made of strong metal.
[11:10.000 --> 11:14.000]  Oh, it's made of strong metal, so when you hit it, it didn't wrinkle, it didn't bend, it didn't break?
[11:15.000 --> 11:25.000]  It only sank a little bit, but the car behind it has a broken, broken, broken, broken.
[11:26.000 --> 11:28.000]  Aha, I see it there. Where is the broken one, here?
[11:29.000 --> 11:32.000]  No, here, the other car that crashed with this one.
[11:33.000 --> 11:34.000]  This one did break.
[11:35.000 --> 11:38.000]  Because the car is so strong.
[11:39.000 --> 11:40.000]  But the other one wasn't so strong and it broke.
[11:41.000 --> 11:43.000]  But you guys get to the beach really fast.
[11:44.000 --> 11:45.000]  Aha, because of the car.
[11:46.000 --> 11:51.000]  Ok, and then here, at number two, what happened?
[11:52.000 --> 11:54.000]  Ah, it's boring.
[11:55.000 --> 11:58.000]  Tell me your story, your story is boring.
[11:59.000 --> 12:03.000]  No, it's boring. This is boring, it's not so much.
[12:03.000 --> 12:05.000]  Ok, what do you want to tell me then?
[12:06.000 --> 12:15.000]  And then Mario is walking on the little, you know the little beaches, there's like these little walks before you enter the beach.
[12:16.000 --> 12:18.000]  Yes, yes, yes, on the rocks, like this, walking on the rocks.
[12:19.000 --> 12:26.000]  Yeah, and then now we're like going to the beach, and now, no, that's, now we're all in the sand, like we're all laying down.
[12:27.000 --> 12:29.000]  Oh, you're lying down, sunbathing?
[12:30.000 --> 12:31.000]  Yeah.
[12:31.000 --> 12:32.000]  Yeah, sunbathing, no?
[12:33.000 --> 12:34.000]  Ok.
[12:35.000 --> 12:36.000]  Just laying down.
[12:37.000 --> 12:38.000]  Just laying down.
[12:39.000 --> 12:40.000]  And there they are in the water, at number four.
[12:41.000 --> 12:42.000]  Aha, and, and the end.
[12:43.000 --> 12:44.000]  The end?
[12:45.000 --> 12:46.000]  They're going to swim and the story is over?
[12:47.000 --> 12:48.000]  This is going to be good.
[12:49.000 --> 12:50.000]  This is going to be what?
[12:51.000 --> 12:53.000]  These are extras, you don't need to fill them all up.
[12:54.000 --> 12:55.000]  Wow, look at this Super Mario.
[12:56.000 --> 13:00.000]  No, because the end of the movie is going to be all black.
[13:01.000 --> 13:02.000]  You're going to want to have it all black at the end?
[13:03.000 --> 13:04.000]  That's how your story ends?
[13:05.000 --> 13:06.000]  Very good, Daniel.
[13:07.000 --> 13:08.000]  Hi, what's your name?
[13:09.000 --> 13:10.000]  Luigi.
[13:11.000 --> 13:12.000]  L-I-J-O.
[13:13.000 --> 13:14.000]  Joan?
[13:15.000 --> 13:16.000]  Good question, Jordana.
[13:17.000 --> 13:18.000]  And who's this?
[13:19.000 --> 13:20.000]  Jean.
[13:21.000 --> 13:22.000]  He's a friend?
[13:23.000 --> 13:24.000]  Nadia.
[13:25.000 --> 13:26.000]  No, no, it's J.
[13:27.000 --> 13:28.000]  How is it, what's his name?
[13:29.000 --> 13:30.000]  Luigi.
[13:31.000 --> 13:32.000]  It's a G.
[13:33.000 --> 13:34.000]  Luigi.
[13:35.000 --> 13:36.000]  C.
[13:37.000 --> 13:38.000]  Let's see if we can get it.
[13:39.000 --> 13:40.000]  Isn't that Luigi?
[13:41.000 --> 13:42.000]  We have them.
[13:43.000 --> 13:45.000]  That looks like the old school Mario, kind of.
[13:47.000 --> 13:53.000]  You don't need to do it with so much detail, Jordana, because later with the plastic you won't be able to do it super, super detailed, right?
[13:54.000 --> 13:56.000]  Remember that later we're going to use another material.
[13:57.000 --> 13:59.000]  I can try by looking at the picture.
[13:59.000 --> 14:00.000]  When?
[14:01.000 --> 14:03.000]  I can try, because I can look at lines.
[14:04.000 --> 14:05.000]  It's beautiful.
[14:06.000 --> 14:07.000]  Is Lucas here today?
[14:08.000 --> 14:09.000]  Lucas, yes.
[14:10.000 --> 14:11.000]  Yes.
[14:15.000 --> 14:18.000]  Oh, we're going to use the plastic, Tina, after when we clean off.
[14:19.000 --> 14:22.000]  I think you'll do it the next day, Jordana.
[14:23.000 --> 14:24.000]  Have you thought about your story?
[14:25.000 --> 14:26.000]  Do you remember?
[14:27.000 --> 14:28.000]  You still haven't thought about your story.
[14:29.000 --> 14:30.000]  What's that?
[14:31.000 --> 14:32.000]  Luigi is Mario's partner.
[14:33.000 --> 14:34.000]  No, it's his brother.
[14:35.000 --> 14:36.000]  It's his brother?
[14:37.000 --> 14:38.000]  Yes, his brother.
[14:59.000 --> 15:07.000]  You know Mario? In the movie Mario is jumping over stuff to get to the owner's house to fix something.
[15:08.000 --> 15:09.000]  Like jumping over stuff.
[15:10.000 --> 15:12.000]  Well, Mario jumps in the video game, right?
[15:13.000 --> 15:15.000]  No, but his brother, it was in the movie.
[15:16.000 --> 15:17.000]  Okay.
[15:18.000 --> 15:19.000]  It was Mario's brother that I see.
[15:20.000 --> 15:21.000]  Oh, it's hot.
[15:22.000 --> 15:25.000]  Oh, it's the last movie that came out. Have you seen it?
[15:26.000 --> 15:28.000]  I'm going to go with my son to see who's there.
[15:29.000 --> 15:37.000]  He's tired because he was running because the car was damaged.
[15:38.000 --> 15:39.000]  Okay.
[15:40.000 --> 15:42.000]  And this is going to be your story?
[15:43.000 --> 15:44.000]  Yes.
[15:45.000 --> 15:46.000]  This is your story, right?
[15:47.000 --> 15:50.000]  Don't put so much detail because it's going to take too long.
[15:51.000 --> 15:53.000]  This is just the planning of your story, right, Jordana?
[15:54.000 --> 15:55.000]  Yes.
[15:56.000 --> 15:57.000]  Jump, right?
[15:57.000 --> 15:58.000]  No?
[15:59.000 --> 16:00.000]  Okay, let me see.
[16:01.000 --> 16:02.000]  Fixing, fixing.
[16:03.000 --> 16:04.000]  Fixing things?
[16:05.000 --> 16:06.000]  Fix, fix.
[16:07.000 --> 16:08.000]  That's what I like.
[16:09.000 --> 16:10.000]  Fix.
[16:11.000 --> 16:12.000]  X?
[16:13.000 --> 16:14.000]  Fixing.
[16:15.000 --> 16:16.000]  Ing, ing.
[16:17.000 --> 16:18.000]  Fixing.
[16:19.000 --> 16:20.000]  Fixing.
[16:21.000 --> 16:22.000]  Can you say the characters?
[16:23.000 --> 16:24.000]  Fixing.
[16:25.000 --> 16:26.000]  Fixing.
[16:27.000 --> 16:29.000]  Alright, so Mario is fixing.
[16:30.000 --> 16:31.000]  He jumped and he's fixing.
[16:32.000 --> 16:33.000]  Fixing.
[16:34.000 --> 16:35.000]  Give us your moment.
[16:36.000 --> 16:37.000]  Okay, alright.
[16:38.000 --> 16:40.000]  And, uh, Dariel is swimming.
[16:41.000 --> 16:42.000]  Fix, fix.
[16:43.000 --> 16:44.000]  Fix.
[16:45.000 --> 16:46.000]  No.
[16:47.000 --> 16:48.000]  This is the ending.
[16:49.000 --> 16:50.000]  Like the scream goes black.
[16:51.000 --> 16:52.000]  This is when they're swimming.
[16:52.000 --> 16:54.000]  Yes, and here when it comes out at the end it says,
[16:55.000 --> 16:58.000]  Director, Dariel, Producer, Dariel.
[16:59.000 --> 17:01.000]  And, uh, Dariel.
[17:02.000 --> 17:03.000]  Can I take a picture of your work?
[17:04.000 --> 17:05.000]  Everything Dariel.
[17:06.000 --> 17:08.000]  But I'm going to see how far you go.
[17:09.000 --> 17:11.000]  I'm going to do the second part.
[17:12.000 --> 17:14.000]  But Dariel, I mean, yes, Dariel.
[17:15.000 --> 17:16.000]  Okay.
[17:17.000 --> 17:18.000]  Fighting.
[17:19.000 --> 17:20.000]  Who's fighting?
[17:20.000 --> 17:21.000]  Who's fighting?
[17:22.000 --> 17:23.000]  Thank you, Dario.
[17:26.000 --> 17:27.000]  Let's see who's here.
[17:28.000 --> 17:31.000]  There's Lucas, there's Chloe, there's Marin.
[17:32.000 --> 17:33.000]  No, no.
[17:34.000 --> 17:35.000]  Kelsey.
[17:36.000 --> 17:38.000]  There's Pepita.
[17:39.000 --> 17:40.000]  Kaylee.
[17:41.000 --> 17:43.000]  And Jeremy.
[17:44.000 --> 17:45.000]  And Marin.
[17:46.000 --> 17:47.000]  And there's a lot of people.
[17:47.000 --> 17:48.000]  Seriously?
[17:49.000 --> 17:50.000]  Let's see what they're doing.
[17:51.000 --> 17:52.000]  Nothing.
[17:53.000 --> 17:54.000]  So we had a story.
[17:55.000 --> 17:56.000]  Tell me, Kelsey.
[17:57.000 --> 17:58.000]  Okay.
[17:59.000 --> 18:00.000]  Tell me, Kelsey.
[18:01.000 --> 18:02.000]  I'm going to take a picture of your plastic.
[18:03.000 --> 18:07.000]  The story is about when we were stealing Squishmallows.
[18:08.000 --> 18:09.000]  And we got arrested.
[18:10.000 --> 18:11.000]  What?
[18:12.000 --> 18:13.000]  We're stealing Squishmallows.
[18:14.000 --> 18:15.000]  Me and Kelsey are stealing Squishmallows.
[18:15.000 --> 18:17.000]  We're stealing marshmallows?
[18:18.000 --> 18:19.000]  Squishmallows?
[18:20.000 --> 18:21.000]  Yeah, Squishmallows.
[18:22.000 --> 18:24.000]  It's like a little teddy bear and it has faces.
[18:25.000 --> 18:26.000]  These are the green and the pink faces?
[18:27.000 --> 18:28.000]  Yeah.
[18:29.000 --> 18:30.000]  All these, you're stealing them?
[18:31.000 --> 18:32.000]  Yeah.
[18:33.000 --> 18:34.000]  And we got arrested.
[18:35.000 --> 18:36.000]  But you know, you can make them like three-dimensional.
[18:37.000 --> 18:38.000]  Like you can make them stand up.
[18:39.000 --> 18:40.000]  Because we're going to have like a little box.
[18:41.000 --> 18:42.000]  You're going to put them inside.
[18:45.000 --> 18:46.000]  But you have all this work done.
[18:47.000 --> 18:49.000]  But from now on, you can make them like standing up if you like.
[18:50.000 --> 18:52.000]  It's going to be three-dimensional.
[18:55.000 --> 18:56.000]  So tell me more, Kelsey, about this story.
[18:57.000 --> 18:58.000]  What happens then?
[18:59.000 --> 19:00.000]  Somebody comes and tells you what are you doing?
[19:01.000 --> 19:02.000]  Yeah, and then we got arrested.
[19:03.000 --> 19:04.000]  No.
[19:05.000 --> 19:06.000]  And then we get arrested.
[19:07.000 --> 19:08.000]  And then we get arrested.
[19:09.000 --> 19:10.000]  And then we get arrested.
[19:11.000 --> 19:12.000]  And then we get arrested.
[19:13.000 --> 19:14.000]  No, we feel happy.
[19:15.000 --> 19:16.000]  Oh, you feel happy?
[19:17.000 --> 19:18.000]  How do you feel happy?
[19:19.000 --> 19:20.000]  Because you got arrested?
[19:21.000 --> 19:22.000]  Because you deserve it?
[19:25.000 --> 19:26.000]  Who are you stealing in the story?
[19:27.000 --> 19:28.000]  Who are you?
[19:29.000 --> 19:30.000]  Kaylee and you?
[19:31.000 --> 19:32.000]  So you're in this story.
[19:33.000 --> 19:34.000]  And where does the story take place?
[19:35.000 --> 19:36.000]  What image are you going to make?
[19:37.000 --> 19:38.000]  In Target?
[19:39.000 --> 19:40.000]  In Target, are you going to be stealing the dolls?
[19:41.000 --> 19:42.000]  Chloe is also there?
[19:43.000 --> 19:44.000]  Yeah, Chloe wants to be there.
[19:45.000 --> 19:46.000]  Why?
[19:47.000 --> 19:48.000]  I don't know.
[19:49.000 --> 19:50.000]  It's okay.
[19:51.000 --> 19:52.000]  What happened?
[19:53.000 --> 19:54.000]  Did they erase Chloe's name?
[19:55.000 --> 19:56.000]  Too many people?
[19:57.000 --> 19:58.000]  Well, what is Chloe going to do?
[19:59.000 --> 20:00.000]  She has to have a role.
[20:01.000 --> 20:02.000]  She did it!
[20:03.000 --> 20:04.000]  I don't know what she did.
[20:05.000 --> 20:06.000]  But what did you do?
[20:07.000 --> 20:08.000]  Can you be the police?
[20:09.000 --> 20:10.000]  Who do you want to be, Chloe?
[20:11.000 --> 20:12.000]  What are you going to do?
[20:12.000 --> 20:15.000]  Because Kaylee wanted to not have so many people.
[20:19.000 --> 20:21.000]  Chloe, what are you going to do?
[20:22.000 --> 20:23.000]  She's the police officer!
[20:24.000 --> 20:25.000]  She's the police officer!
[20:26.000 --> 20:27.000]  Wait, what does Chloe say? I can't hear her.
[20:28.000 --> 20:29.000]  Tell me, honey.
[20:30.000 --> 20:31.000]  She's gone.
[20:32.000 --> 20:33.000]  What did you say, Kelsey?
[20:34.000 --> 20:35.000]  Her name is Kelsey, I'm Kaylee.
[20:36.000 --> 20:37.000]  Oh, sorry, Kelsey.
[20:38.000 --> 20:39.000]  Kaylee, no.
[20:40.000 --> 20:41.000]  Kaylee, no?
[20:42.000 --> 20:43.000]  Kaylee, what were you saying?
[20:44.000 --> 20:45.000]  What can Chloe do?
[20:46.000 --> 20:48.000]  She's going to be the police officer and arrest us.
[20:49.000 --> 20:50.000]  Do you think she'll like that role?
[20:51.000 --> 20:52.000]  We have to ask her.
[20:53.000 --> 20:55.000]  But we don't have anymore, um, wait, we just have these colors.
[20:56.000 --> 20:57.000]  How do you make them?
[20:58.000 --> 21:00.000]  Well, we can imagine that there are many colors.
[21:01.000 --> 21:03.000]  This is Chloe's skin color, a little bit similar.
