,Start,End,Speaker,Text
25,0:01:48,0:01:56,SPEAKER 1," Jordani y Marin  siempre hablan mucho  de sus opiniones.  Y Jeremy estaba corriendo, saliendo del... "
26,0:01:56,0:01:58,SPEAKER 3, Estaba cansadito. 
27,0:01:58,0:02:00,SPEAKER 4, Se paró un poquito con nosotros. 
28,0:02:00,0:02:04,SPEAKER 1, Dijo que quería estar allá.  Sí. 
29,0:02:04,0:02:06,SPEAKER 4, Pero allí bailaba de una a otra. 
30,0:02:06,0:02:08,SPEAKER 1," Le dije, ok, go. "
31,0:02:08,0:02:10,SPEAKER 3, But you have to stay there. 
32,0:02:10,0:02:20,SPEAKER 1, Y bueno.  Y empezaron a ver  a pensar un poco  y después Marin... 
33,0:02:20,0:02:28,SPEAKER 3, Quito.  Ella pensó como  mi papá trabaja.  No me acuerdo del nombre del restaurante. 
34,0:02:28,0:02:36,SPEAKER 1, Seafood Junior.  Que él trabaja.  Hablaron de sus padres y de dónde trabajan.  Y todo eso. 
35,0:02:36,0:02:40,SPEAKER 3, Y Marin quiso buscar  Google Maps. 
36,0:02:40,0:02:48,SPEAKER 1, Que conoce  y sabe que puede buscar el sitio  y la dirección.  Y creo que pidió a Oliva. 
37,0:02:48,0:02:54,SPEAKER 5," Y vino acá y me dijo,  tienes Google Maps?  Y yo, sí, a ver, a ver. "
38,0:02:54,0:02:56,SPEAKER 4," Me dijo, no, no, ándate al McDonald's. "
39,0:02:56,0:02:58,SPEAKER 5," Y yo dije, el McDonald's está tapado "
40,0:02:58,0:03:00,SPEAKER 4, porque había unos negocios. 
41,0:03:00,0:03:04,SPEAKER 5," Me dijo, no, no, camina para adelante.  Y como se exasperó porque yo estaba así como "
42,0:03:04,0:03:06,SPEAKER 3," qué, qué. "
43,0:03:06,0:03:16,SPEAKER 5," Avanzó hasta Broadway, giró  y siguió avanzando.  Aquí, yo guardé la cámara  y se veía el local y dijo,  ahí, ahí, ese es el local de mi papá. "
44,0:03:16,0:03:22,SPEAKER 4," Nos olvidamos de hacer eso, ¿verdad, Belén?  Porque él podría haber hecho más real.  Nos olvidamos de buscar Google Maps. "
45,0:03:22,0:03:48,SPEAKER 1," Pero es mejor.  Bueno, no es mejor o peor, pero  porque mañana  planificamos, bueno,  cuando hablamos unas dos semanas  habíamos hablado que  hoy veríamos  los lugares que conocen, ya conocen.  Y después mañana buscamos  porque yo tengo un mapa  gigante  de Google Maps, pero no encuentro  es impresora. "
46,0:03:48,0:03:52,SPEAKER 4, Imprimelo en un sitio  y me das el recibo. 
47,0:03:52,0:03:54,SPEAKER 1, Lo pagamos. 
48,0:03:54,0:03:56,SPEAKER 4," Pero si te da tiempo, mañana "
49,0:03:56,0:03:58,SPEAKER 1, que cosa necesitas. 
50,0:03:58,0:04:00,SPEAKER 5, Tengo reunión a las nueve. 
51,0:04:00,0:04:02,SPEAKER 3, Pero 
52,0:04:02,0:04:04,SPEAKER 5, ¿puedo imprimir aquí? 
53,0:04:04,0:04:06,SPEAKER 3, Sí. 
54,0:04:06,0:04:08,SPEAKER 1, Pero es grande. 
55,0:04:08,0:04:10,SPEAKER 3, Son nueve páginas. 
56,0:04:10,0:04:16,SPEAKER 1, Ya tengo el archivo  que te envío.  Y ahí lo ponemos para que 
57,0:04:16,0:04:22,SPEAKER 4," podamos... Es que en la piscina se nos...  Ashley se compró una nueva computadora  y no la han enchufado, no funciona "
58,0:04:22,0:04:24,SPEAKER 3, cuando la impresionan. Y yo quería hacerlo en Castle 
59,0:04:24,0:04:28,SPEAKER 1, pero número uno no tuve tiempo  y número dos creo que la impresionante 
60,0:04:28,0:04:30,SPEAKER 4, no estaba funcionando. Pero lo quieres luego 
61,0:04:30,0:04:34,SPEAKER 1," pegar todo. Sí, pegar todo porque  son por tres, por tres. "
62,0:04:34,0:04:38,SPEAKER 4, Y si quieres irte de Washington  Heights. Si quieres irte a un sitio profesional 
63,0:04:38,0:04:40,SPEAKER 1, que te lo... ¿cómo se llama? 
64,0:04:40,0:04:44,SPEAKER 3, State Halls.  Es un sitio que te va a dar más... 
65,0:04:44,0:04:46,SPEAKER 4," nos va a costar una fortuna, pero bueno. "
66,0:04:46,0:04:48,SPEAKER 5," Sí, puede intentar. "
67,0:04:48,0:04:52,SPEAKER 4," Sí, va a ser más barato y más fácil.  Es que podemos preguntar "
68,0:04:52,0:04:56,SPEAKER 1, en el T.C.  abajo. Hay un lugar 
69,0:04:56,0:05:02,SPEAKER 4," que imprime. Sí, un Business Center.  Sí. Bien caro, pero  para una excepción. "
70,0:05:02,0:05:04,SPEAKER 1," Ah, ¿dónde se envía? "
71,0:05:04,0:05:08,SPEAKER 3," Packages y todo.  Sí, ahí. "
72,0:05:08,0:05:14,SPEAKER 1, ¿Cuánto puede...? Si tú tienes tiempo  no sé.  Me lo manda ahí. 
73,0:05:14,0:05:18,SPEAKER 5, Pues yo siento que si ya van a hacer  esa inversión sería bueno laminarlo. 
74,0:05:18,0:05:22,SPEAKER 3, Así  pueden dibujar y pintar. 
75,0:05:22,0:05:28,SPEAKER 5," No solo eso, pero si no es algo como que  recurrente.  Ahí mismo a lo mejor "
76,0:05:28,0:05:32,SPEAKER 4, te lo pueden laminar.  Si merece la pena laminarlo. 
77,0:05:32,0:05:36,SPEAKER 1, Puedes poner en la pantalla.  Me lo manda al 
78,0:05:36,0:05:38,SPEAKER 5, T.C. 
79,0:05:38,0:05:42,SPEAKER 1, ¿Cuánto se demora también?  Eso sí lo van a tener. 
80,0:05:42,0:05:46,SPEAKER 4," Si lo llevas por la mañana le dicen, me lo puedes  llevar para asatar dentro de dos horas. "
81,0:05:46,0:05:50,SPEAKER 1," Es porque intenté hacerlo  en la librería también, pero no pude. "
82,0:05:50,0:05:54,SPEAKER 3, No pude.  Goddessman Library. 
83,0:05:54,0:06:08,SPEAKER 1," Sí, no funcionó.  Ah, no, allí no. Sí, pero mañana  podemos ver y también buscar en nuestros  teléfonos. Sí.  Sí, porque ahí podemos ver todos los bloques  y también por dónde  vamos a caminar. "
84,0:06:08,0:06:12,SPEAKER 4, ¿Y cómo sería  en un grupo entero? 
85,0:06:12,0:06:18,SPEAKER 1, Entonces  podemos empezar  en un grupo entero y después 
86,0:06:18,0:06:20,SPEAKER 3, y... 
87,0:06:20,0:06:26,SPEAKER 4, Pero habría que hacer en los grupos solo tenemos un mapa  entonces un grupo trabaja en mapa  el otro trabaja en Google Maps 
88,0:06:26,0:06:34,SPEAKER 1," o algo así, ¿no?  Y creo que para buscar  sería mejor  usar el teléfono. "
89,0:06:34,0:06:36,SPEAKER 3, ¿Pero los iPads 
90,0:06:36,0:06:38,SPEAKER 1, no tienen Google Maps? 
91,0:06:38,0:06:40,SPEAKER 3, No. 
92,0:06:40,0:06:42,SPEAKER 1," No, no tienen iPads. "
93,0:06:42,0:06:44,SPEAKER 3," No, pero los otros tenemos. "
94,0:06:44,0:06:50,SPEAKER 2, ¿Es eso Apple Maps?  Al menos.  Google Maps debería de ser una versión 
95,0:06:50,0:06:52,SPEAKER 3, de Apple Maps. 
96,0:06:52,0:06:54,SPEAKER 2, No creo que podrías usar Street View. 
97,0:06:54,0:06:58,SPEAKER 3, Pero podemos imprimir  individuales que tengan una gran gran 
98,0:06:58,0:07:04,SPEAKER 2, ¿Sí? Podemos tener la gran gran  para empezar y decir  ¿Qué? ¿En general? Y luego cuando separamos 
99,0:07:04,0:07:10,SPEAKER 3, tenemos los pequeños y los pequeños.  Es por eso que realmente quería el grande hoy  para que pudiéramos decir 
100,0:07:10,0:07:12,SPEAKER 1," Oh sí, ¿qué sabemos? "
101,0:07:12,0:07:50,SPEAKER 3," Oh, sé que hay algo allá, McDonald's, Chick-fil-A  Miracito, 184th  ¿Sabes?  Pero no podía imprimir  pero  podemos tener individuales porque lo hice  a un 8x4 de tamaño de una página de letra  y cada grupo puede imprimirlo.  ¿Tenemos que imprimirlo mañana?  Sí, pero no te preocupes  ¿Qué es eso?  Creo que Belén va a intentarlo  para que no te acuerdes de imprimirlo.  ¿Cómo grande sería la página de letra?  ¿Cómo grande sería la página de letra?  El individual para los grupos  sería una página de letra  pero el grande que estoy hablando de  es la página de letra de cada grupo. "
102,0:07:50,0:07:54,SPEAKER 5, ¿Y no quieres solo imprimirlo y imprimirlo  y tener una estación por la familia? 
103,0:07:54,0:08:04,SPEAKER 3, Eso es otra opción.  Podíamos hacer eso  en Google Maps  pensé que sería genial ver  una estación por la familia 
104,0:08:04,0:08:14,SPEAKER 4," pero podíamos hacer eso.  Sí, con el mapa lo bueno es que podemos añadir  por ejemplo post-its  donde escriban sus espacios  y escriban un dibujito "
105,0:08:14,0:08:20,SPEAKER 1, de cómo se sienten en ese espacio.  Pero cómo es difícil tener un grande  para cada grupo 
106,0:08:20,0:08:22,SPEAKER 3, tendríamos el grande y el gigante 
107,0:08:22,0:08:26,SPEAKER 4, y después cada grupo tiene uno pequeño  y más copias. 
108,0:08:26,0:08:30,SPEAKER 1, Pero esto de grupos puede ser...  Blanco y negro. 
109,0:08:30,0:08:32,SPEAKER 4," Sí, negro. "
110,0:08:32,0:08:36,SPEAKER 3," Bueno.  Bueno, vamos de vuelta. "
111,0:08:36,0:08:50,SPEAKER 1," Ellas querían buscar  esta marina, ya sabía.  No recordaba el nombre  pero sabía dónde estaba y todo.  Y después no van y entonces  también quiso buscar  la barbería, ¿no? "
112,0:08:50,0:08:58,SPEAKER 4," de su papá.  Esto creo que debemos ir  a estos dos sitios principalmente.  Sí, sí, sí. Están cerca. "
113,0:08:58,0:09:00,SPEAKER 1," Sí, sí, sí. "
114,0:09:00,0:09:02,SPEAKER 4, Esta barbería y el seafood place 
115,0:09:02,0:09:04,SPEAKER 3, for sure. 
116,0:09:04,0:09:16,SPEAKER 1," Sí, porque Dariel  nos preguntó si podíamos tomar  fotos dentro  y afuera.  Entonces le dije, tenemos que preguntar  porque quería ir a uno de un pollo. "
117,0:09:16,0:09:54,SPEAKER 4," La semana pasada cuando hablamos  estábamos diciendo de ir nosotros  y estaba pensando  que podemos ir ahora a visitarlos.  Todos deben estar aquí cerca.  Ir hasta la casa de Mofongo,  el McDonald's, la entrada del metro.  Como pensar una pequeña ruta,  dos rutas para dos grupos.  Y como los que estamos aquí  seríamos los líderes  porque no están Andrea.  Andrea se sentía insegura porque no conoce  dónde llevaron los niños, normal.  Ángela lo conoce un poco más, Paulina lo conoce  un poco más.  Y que Belén...  Tú conoces el sitio de comprar verduras. "
118,0:09:54,0:09:56,SPEAKER 1," Sí, siempre vemos por acá. "
119,0:09:56,0:10:02,SPEAKER 4, Que nos lo tienes que enseñar.  Como pensar en dos o tres sitios  que cada grupo puede visitar. 
120,0:10:02,0:10:06,SPEAKER 2," Si vamos a ese grupo, pues yo tendría  que ir con alguien que conoce aquí. "
121,0:10:06,0:10:22,SPEAKER 4," Pero por eso podemos ir ahora.  Y tú conoces los sitios  porque si está Andrea que no lo ha visto  porque no está hoy.  Y quién más está enfermo y Cristina tampoco está.  Y bueno, Cristina  se conoce, yo sé, el sitio del pollo  se se lo conoce. "
122,0:10:22,0:10:24,SPEAKER 3, El Chick-fil-A se llama. 
123,0:10:24,0:10:26,SPEAKER 4, Y todo el mundo en Chick-fil-A 
124,0:10:26,0:10:30,SPEAKER 5, es el sitio del pollo.  Como que todo el mundo en Chick-fil-A. 
125,0:10:30,0:10:34,SPEAKER 1," Belén, ¿dónde pasamos toda la semana?  Bueno, ahí el Target. "
126,0:10:34,0:10:36,SPEAKER 5, Sí. 
127,0:10:36,0:10:40,SPEAKER 3, Algunas chicas dijeron  a Claire's. 
128,0:10:42,0:10:46,SPEAKER 4, Que es la tienda de cositas del pelo  y correría. 
129,0:10:46,0:10:52,SPEAKER 1," Sí, no dijeron del  parque que hay  cruzando el puente. "
130,0:10:52,0:10:56,SPEAKER 3," Pero creo que no es muy lejos.  Sí, alguien lo dijo. "
131,0:10:56,0:11:00,SPEAKER 4," Sí, el puente.  Alguien lo dijo. "
132,0:11:00,0:11:04,SPEAKER 3, El puente que lleva al Bronx.  ¿Puede ser? 
133,0:11:04,0:11:08,SPEAKER 2, Creo que ella dice que lleva al Connecticut.  Dijo a Connecticut eventualmente. 
134,0:11:08,0:11:42,SPEAKER 4," Sí.  Sí que lo dijo.  Pero no sé si está muy lejos.  Igual la casa de Dylan.  Sería bonito pasar por el edificio de alguien.  También, pero  si no conocemos...  Andrea  quería que estuviéramos  en una ruta fija  de los sitios donde vamos a ir.  Y es una buena idea.  Y, por ejemplo, en el sitio  del Seafood, si fuéramos ahora  podríamos preguntarle si estuviera bien  entrar.  Porque si es el papá de uno de ellos "
135,0:11:42,0:11:46,SPEAKER 5, también se le podría  preguntar por mensaje y teléfono. 
136,0:11:46,0:11:50,SPEAKER 4, Solo entrar sin disturbar  lo que pueda. 
137,0:11:50,0:11:54,SPEAKER 5, Marina es tu alumna?  Sí. 
138,0:11:54,0:11:56,SPEAKER 3, ¿Tú crees que no podrías preguntar al papá? 
139,0:11:56,0:11:58,SPEAKER 1, Junior? 
140,0:11:58,0:12:00,SPEAKER 5, Junior Seafood. 
141,0:12:00,0:12:02,SPEAKER 3, Pero es bajo... 
142,0:12:02,0:12:06,SPEAKER 4," No, vamos a ir.  Porque tampoco saben usar bueno. "
143,0:12:06,0:12:08,SPEAKER 1," Podemos pasar, pero no sabemos quién es. "
144,0:12:08,0:12:10,SPEAKER 3, ¿Y la barbería? 
145,0:12:10,0:12:16,SPEAKER 1," Es en Broadway  en 180.  La Casa del Mofongo es más al norte, "
146,0:12:16,0:12:18,SPEAKER 3, pero si vamos allá tenemos que ir al norte también. 
147,0:12:18,0:12:22,SPEAKER 5," Estamos en la Casa del Mofongo,  como 182. "
148,0:12:24,0:12:38,SPEAKER 3," Entonces, la Casa del Mofongo es...  La Casa del Mofongo está aquí mismo.  Aquí, pero estamos aquí  de esta forma, ¿verdad?  Pero su lugar es más al norte.  Sí, sí, sí.  ¿Y la Casa del Mofongo? "
149,0:12:38,0:12:44,SPEAKER 4, Nosotros.  Miranchito.  Es que es enorme. 
150,0:12:44,0:12:46,SPEAKER 5, Es enorme y tiene como el pilón. 
151,0:12:46,0:13:00,SPEAKER 3," Bueno, podemos ir,  pero creo que esa es la ruta  que tomamos  Marín y algunos otros.  Claro, eso estoy pensando.  Entonces, si elegimos una ruta "
152,0:13:00,0:13:06,SPEAKER 1," como esa, porque cada grupo  tiene una ruta diferente,  ¿no? Un camino diferente. "
153,0:13:06,0:13:08,SPEAKER 4, No sé si es mejor. ¿Dejamos algunos en la clase? 
154,0:13:08,0:13:10,SPEAKER 1," Sí, sí, claro, pero... "
155,0:13:10,0:13:12,SPEAKER 4, ¿Nos dará tiempo a intercambiar? 
156,0:13:12,0:13:18,SPEAKER 2," Si no es tan largo  la caminata así,  porque si estaremos de aquí como las 4 "
157,0:13:18,0:13:22,SPEAKER 1," o las 10,  no sé, como dos cuadras para allá. "
158,0:13:22,0:13:24,SPEAKER 4," Hay que venir a ver las normas, prepararse, "
159,0:13:24,0:13:26,SPEAKER 5, y salir dentro de la ruta. 
160,0:13:26,0:13:28,SPEAKER 4," Entonces, el otro grupo tendría que estar "
161,0:13:28,0:13:38,SPEAKER 1," West.  Porque si quieren parar a tomar fotos  en alguna parte, eso toma tiempo.  Porque todos van a querer  tomar fotos y todos van a querer "
162,0:13:38,0:13:40,SPEAKER 4, entrar. 
163,0:13:40,0:13:44,SPEAKER 3, Este es Junior Seafood.  Está aquí. 
164,0:13:44,0:13:50,SPEAKER 1, Pero lo que pasa es que  si caminamos a otro  y vemos otros sitios... 
165,0:13:50,0:13:52,SPEAKER 4," Sí, las cosas ir parando. "
166,0:13:52,0:13:54,SPEAKER 3, Donde les interese. 
167,0:13:54,0:13:56,SPEAKER 4, Para hacer fotos. 
168,0:13:56,0:13:58,SPEAKER 3," Sí, sí. "
169,0:13:58,0:14:00,SPEAKER 4, Y quizá les decimos sacar fotos 
170,0:14:00,0:14:02,SPEAKER 3, de las personas. 
171,0:14:02,0:14:10,SPEAKER 4, ¿Y dónde está la barbería?  A no ser que les preguntemos.  De acaso no metemos en...  Se pone alguien ahí. 
172,0:14:10,0:14:12,SPEAKER 2, Si va a ir cada... 
173,0:14:12,0:14:14,SPEAKER 3, Es la última página. 
174,0:14:14,0:14:16,SPEAKER 4," Sí, hay que traerlos primero aquí "
175,0:14:16,0:14:20,SPEAKER 5, y hablar de las normas un poquito.  Ese martes estamos en las otras. 
176,0:14:20,0:14:48,SPEAKER 2," Mi grupo  es muy interesada en  ir al parque o al bosque  para buscar por  sus tesoros.  Entonces  estamos  pensando sobre  cosas de  historia, parque  que parecen  como tesoros.  No sé.  ¿Cuáles tesoros? "
177,0:14:48,0:14:56,SPEAKER 4, Para Stop Motion.  ¿Estás pensando  para la historia de Stop Motion? 
178,0:14:56,0:15:00,SPEAKER 2," Ahora no, pero sí.  Eventualmente. "
179,0:15:00,0:15:06,SPEAKER 4, Eventualmente las fotos solo van a ser  como la base. Luego  estamos pensando en hacer tridimensional 
180,0:15:06,0:15:08,SPEAKER 3, con plástico o algo. 
181,0:15:08,0:15:10,SPEAKER 4, Recortes. 
182,0:15:10,0:15:12,SPEAKER 3, Sí. 
183,0:15:12,0:15:14,SPEAKER 1, La barbería está más cerca 
184,0:15:14,0:15:16,SPEAKER 3, que el Seafood. 
185,0:15:16,0:15:18,SPEAKER 1, Sí. Cinco minutos. 
186,0:15:18,0:15:20,SPEAKER 4, Está como... 
187,0:15:20,0:15:22,SPEAKER 3," Pero está en el camino, ¿no? "
188,0:15:22,0:15:26,SPEAKER 1, Son caminos diferentes.  Caminos diferentes. 
189,0:15:26,0:15:32,SPEAKER 4, Que vaya un grupo a cada lado.  Que un grupo vaya hacia el Seafood y otro  grupo vaya hacia la barbería. 
190,0:15:32,0:15:34,SPEAKER 1, Hacemos dos grupos. 
191,0:15:34,0:15:36,SPEAKER 4, Hacemos cuatro. 
192,0:15:36,0:15:44,SPEAKER 1, Y el miércoles los robo dos.  Porque inicialmente  habíamos pensado en seis grupos  y dos grupos iban a salir juntos. 
193,0:15:44,0:15:46,SPEAKER 5, Sí. 
194,0:15:46,0:15:50,SPEAKER 1, Así que  estos dos grupos 
195,0:15:50,0:15:52,SPEAKER 3, caminarían a 
196,0:15:52,0:15:58,SPEAKER 1," un sitio, no sé,  con una ruta fija.  Y entonces, I guess we have "
197,0:15:58,0:16:02,SPEAKER 3," like three, three  destinations. "
198,0:16:02,0:16:08,SPEAKER 4," Pero quieren llegar hasta  el parque.  ¿Tú sabes qué parque es, yo? "
199,0:16:08,0:16:12,SPEAKER 2," Creo que es...  Era primero para seis, "
200,0:16:12,0:16:16,SPEAKER 3," después era...  Para mí, I'm a learner. "
201,0:16:16,0:16:24,SPEAKER 2, Lo que son más pequeños  son los que tienen más efectivos.  Creo que...  Porque... 
202,0:16:24,0:16:26,SPEAKER 3, Están hablando de un parque híbrido. 
203,0:16:26,0:16:28,SPEAKER 2," No, no. "
204,0:16:28,0:16:34,SPEAKER 1, Era el que dije  Raisley. Creo que  es como un parque que es como detrás del colegio 
205,0:16:34,0:16:36,SPEAKER 3, o algo así. 
206,0:16:36,0:16:38,SPEAKER 1," Entonces, si es detrás del colegio y aquí "
207,0:16:38,0:16:44,SPEAKER 3, no es la misma cuadra.  Yo creo que se refiere a algo que  es el basketball court. 
208,0:16:44,0:16:52,SPEAKER 4," ¿A qué más sitios hablarán?  Tenemos el parque Seafood,  la barbería, el mofongo,  el McDonald's. "
209,0:16:52,0:16:54,SPEAKER 3, El Chicken y Philly. 
210,0:16:54,0:16:56,SPEAKER 4, Eso es el Chicken Philly. 
211,0:16:56,0:16:58,SPEAKER 3, El Chicken Philly. 
212,0:16:58,0:17:06,SPEAKER 2," Mi grupo también mencionó una tienda de mascotas,  pero no sé dónde sí están, dónde están.  Es un puppy shop.  Un puppy shop. "
213,0:17:06,0:17:08,SPEAKER 5," ¿Una tienda de mascotas, Paulina? "
214,0:17:08,0:17:12,SPEAKER 3," Sí, 181st Street.  ¿Cerquita? "
215,0:17:12,0:17:20,SPEAKER 5," Sí, está como caminando. Hay una tienda  de plantas y luego más un poco más.  Hay un Dunkin' Donuts y tal.  Hay un McDonald's. "
216,0:17:20,0:17:26,SPEAKER 4, El McDonald's está en la esquina.  Porque hay que ir escuchando a los niños  capturar eso va a ser difícil. Hay que 
217,0:17:26,0:17:28,SPEAKER 3, grabar o escribir. 
218,0:17:28,0:17:30,SPEAKER 4, Además de sus fotos. 
219,0:17:30,0:17:32,SPEAKER 5, Yo me muero de mi casa 12 minutos. 
220,0:17:32,0:17:40,SPEAKER 4," Hoy viniendo para acá, que me estaba  pisando más en la comunidad, hay una botita ahí  que vende virgen de la Guadalupe y qué sé yo  que vende. "
221,0:17:40,0:17:44,SPEAKER 5, Es muy bonita esa botita.  Hay que ir muy lejos 
222,0:17:44,0:17:46,SPEAKER 4, para encontrar maravillas. 
223,0:17:46,0:17:48,SPEAKER 5, Para los santos y cosas. 
224,0:17:48,0:17:56,SPEAKER 4, Voy a entrar aquí a que me bendigan.  Y es bonita.  Y alrededor del metro.  Me encanta esa... había música. 
225,0:17:56,0:18:04,SPEAKER 1, Al metro hacia arriba  cuando uno va a la prendería.  Hay mucha tienda y hay mucha gente  que vende cosas en la calle. 
226,0:18:04,0:18:10,SPEAKER 4," Pues vamos, vamos a verlo. Llevamos para  escribir. Porque de aquí  al martes a lo mejor se olvida. "
227,0:18:10,0:18:12,SPEAKER 3," Menúel, ¿sabes? "
228,0:18:12,0:18:14,SPEAKER 1, Tenemos que parar 
229,0:18:14,0:18:16,SPEAKER 3, y grabar. 
230,0:18:16,0:18:18,SPEAKER 4, Un adulto con cuatro o cinco niños 
231,0:18:18,0:18:20,SPEAKER 3, es mucho. 
232,0:18:20,0:18:26,SPEAKER 4," Que se sientan cerca.  Los de aquí se quedan poquitos,  dos adultos. "
233,0:18:26,0:18:28,SPEAKER 5," Entonces, ¿lo vamos a hacer en dos días? "
234,0:18:28,0:18:30,SPEAKER 4, ¿Qué os parece si lo hacemos en dos días 
235,0:18:30,0:18:34,SPEAKER 5, se quejara mucho?  Al mismo tiempo salimos con un desfase de cinco niños. 
236,0:18:34,0:18:36,SPEAKER 1," O sea, si hay... "
237,0:18:36,0:18:38,SPEAKER 4, Es que tiene Agostina. 
238,0:18:38,0:18:40,SPEAKER 1, Si hay una chica que necesita... 
239,0:18:40,0:18:42,SPEAKER 4, Se va con un grupo pequeño. 
240,0:18:42,0:18:44,SPEAKER 5, El martes solo. 
241,0:18:44,0:18:50,SPEAKER 1, Por eso ella había dicho  cómo salir con un grupo  volviendo. 
242,0:18:50,0:18:56,SPEAKER 2, Pues entonces también  se tendría... con las entusiasmas  que se quedaran aquí se tendría que hacer algo con ellos 
243,0:18:56,0:19:00,SPEAKER 3," también. O sea, puedes al otro día,  pero el mismo día... No va a dar tiempo "
244,0:19:00,0:19:22,SPEAKER 4," a switch. Pero pueden acabar  y salir.  No tienen que esperar  a que vuelva el otro grupo.  No serán suficientes.  Porque Agustina puede ir con el grupo también.  Agustina tiene que ir uno que sepa  que haya hecho el paseo.  No, pero también ella tiene... como que no es parte del  Astros. No, pero como  acompañante, como sopor persona. "
245,0:19:22,0:19:24,SPEAKER 5," Ah, como acompañante sí, pero no que ella... "
246,0:19:24,0:19:26,SPEAKER 4," No, y no conozca nada de la comunidad. "
247,0:19:26,0:19:28,SPEAKER 5," No, no conozca nada de la comunidad. "
248,0:19:28,0:19:38,SPEAKER 3, También. 
249,0:19:58,0:20:04,SPEAKER 1," Y el martes, el miércoles,  algunos de nosotros podemos salir  y llevarlos cerca. "
250,0:20:04,0:20:06,SPEAKER 4, A los que no vayan. 
251,0:20:06,0:20:08,SPEAKER 1, Muchas. 
252,0:20:08,0:20:10,SPEAKER 3, Muchas. 
253,0:20:10,0:20:12,SPEAKER 1, Porque sino que ya 
254,0:20:12,0:20:14,SPEAKER 3, les avisamos 
255,0:20:14,0:20:16,SPEAKER 1, gracias. 
256,0:20:16,0:20:18,SPEAKER 3," Pues vamos, vamos a visitar "
257,0:20:18,0:20:20,SPEAKER 1, un sitio que vamos a... 
258,0:20:20,0:20:26,SPEAKER 3," No vamos a definir grupos ahora,  ¿no? El viernes.  No, pero por lo menos "
259,0:20:26,0:20:30,SPEAKER 4," los que estén aquí, con que no estén...  Por ejemplo, Manuela dijo, yo no conozco nada "
260,0:20:30,0:20:40,SPEAKER 3," de la comunidad, tengo que ir con la goma.  Pero vamos ahora para...  Y apuntamos.  Y yo también,  que conozco... "
261,0:20:40,0:20:42,SPEAKER 4, Ponte otra. 
262,0:20:42,0:20:44,SPEAKER 2, Las compré hoy. 
263,0:20:44,0:21:02,SPEAKER 3, Vamos ahora.  ¿Estamos traiendo mi ropa?  No tengo mi llave.  Los perdí el día que no tuvimos  esa fuente de fuego.  ¡Gracias! 
