Audio File : whispy\mar_07\030723_meeting.wav             
Model size : large-v2

~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~          
 Starting es transcription...          
 Time : 04:45:56          
 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~

[0:00:00  ->  0:00:03]  ...app para nuestro chat.
[0:00:03 ->  0:00:05]  Se llama Stop Motion.
[0:01:27 ->  0:01:31]  Esa es la parte más complicada de usar esta aplicación.
[0:01:31 ->  0:01:33]  ¿Qué es eso? ¿Ajusta?
[0:01:33 ->  0:01:35]  Esto ajusta cuántas...
[0:01:35 ->  0:01:37]  ¿Cuántas imágenes aparecerán?
[0:01:37 ->  0:01:39]  Podría aparecer... Solo tenemos una antes.
[0:01:39 ->  0:01:41]  Pero podría aparecer...
[0:01:41 ->  0:01:43]  Podría aparecer como 5.
[0:01:43 ->  0:01:45]  Para que sepa cuánto rápido está moviendo algo.
[0:01:45 ->  0:01:47]  Stop Motion Studio es Stop Motion Studio Pro.
[0:01:47 ->  0:01:49]  Pero es el de regular.
[0:01:49 ->  0:01:51]  Sí, sí.
[0:01:51 ->  0:01:53]  Y luego estoy moviendo esto.
[0:01:53 ->  0:01:57]  Y puedo ver que estoy moviendo a una distancia de un balón cada vez.
[0:01:57 ->  0:01:59]  ¡Oh, no!
[0:01:59 ->  0:02:01]  Angela.
[0:02:01 ->  0:02:03]  Esta es un ejemplo perfecto de cómo descargar una foto.
[0:02:03 ->  0:02:05]  Vas...
[0:02:05 ->  0:02:07]  Sí, vas...
[0:02:07 ->  0:02:09]  Vas aquí, das la flecha y vuelves.
[0:02:09 ->  0:02:13]  Solo seleccionas el frame y descargas.
[0:02:13 ->  0:02:17]  Sí, así que si esto se mueve, tienes que descargarlo.
[0:02:17 ->  0:02:22]  Sí, y a veces los niños tienen sus manos en la foto y presionan la foto al mismo tiempo.
[0:02:22 ->  0:02:25]  Y te dirán, ¿quieres tu mano ahí?
[0:02:27 ->  0:02:30]  Y luego, ya sabes, va a descargarse.
[0:02:30 ->  0:02:33]  No creo que necesite explicar mucho más acerca de esto.
[0:02:33 ->  0:02:37]  Pero también no creo que vamos a descargar cosas demasiado.
[0:02:37 ->  0:02:43]  Pero como siempre, tapo el papel para asegurar que el papel de atrás no se mueva.
[0:02:45 ->  0:02:47]  Ahora solo quiero terminarlo.
[0:02:47 ->  0:02:49]  Sí, creo que deberías.
[0:02:49 ->  0:02:51]  Tiene que ir en el balón.
[0:02:51 ->  0:02:53]  Tengo una pregunta.
[0:02:53 ->  0:02:55]  ¿Es de 5 fotos?
[0:02:55 ->  0:02:57]  No, es de 1 foto cada vez que presionas el botón.
[0:02:57 ->  0:02:59]  Pero puedo cambiar este slider aquí.
[0:02:59 ->  0:03:01]  ¿Puedes mostrar todos?
[0:03:01 ->  0:03:03]  ¿El anterior?
[0:03:03 ->  0:03:05]  ¡Oh, el de Jack 3!
[0:03:06 ->  0:03:10]  Lo siento, pero hay un modo que te permite cambiar cuántas fotos.
[0:03:10 ->  0:03:12]  ¿Es transparente?
[0:03:12 ->  0:03:14]  Sí, sí.
[0:03:14 ->  0:03:16]  ¿Dónde va a ir el siguiente?
[0:03:16 ->  0:03:18]  Sí, ahora solo tiene 3 fotos.
[0:03:18 ->  0:03:22]  Entonces puedes ver las 3 fotos anteriores.
[0:03:24 ->  0:03:25]  ¿Es 0?
[0:03:25 ->  0:03:27]  Sí, ahora puedes ver 3.
[0:03:27 ->  0:03:28]  ¿De dónde viene?
[0:03:28 ->  0:03:29]  5.
[0:03:29 ->  0:03:32]  ¿Y cuánto tiene que pasar en teoría?
[0:03:32 ->  0:03:34]  ¿Y la luz es otra cosa que tienes que...
[0:03:34 ->  0:03:37]  ...no mover esto y tener la misma luz?
[0:03:37 ->  0:03:40]  Sí, también uso una lámpara.
[0:03:40 ->  0:03:43]  ¿Algún tipo de lámpara que le dé luz?
[0:03:43 ->  0:03:46]  Idealmente tendrías 2 para que no haya ninguna sombra.
[0:03:46 ->  0:03:49]  Pero yo solo he estado usando una y se ha ido.
[0:03:49 ->  0:03:53]  Sí, está bien. No necesitamos que sean perfectas.
[0:03:53 ->  0:03:56]  En este tipo de luz es mejor sin una luz extra.
[0:03:56 ->  0:04:00]  Pero también depende de cómo hacen sus elementos que están sentados en la página.
[0:04:00 ->  0:04:02]  Como el de la tigre.
[0:04:02 ->  0:04:06]  Estaban muy doblados, así que se estaba castando muchas sombras.
[0:04:06 ->  0:04:08]  Por eso intentas evitarlo.
[0:04:08 ->  0:04:11]  Y eso sería la luz de las 3 luces.
[0:04:11 ->  0:04:13]  ¿Qué es eso?
[0:04:13 ->  0:04:15]  Es un baloncesto.
[0:04:15 ->  0:04:17]  Oh, wow.
[0:04:17 ->  0:04:19]  O es un boleto de traje.
[0:04:19 ->  0:04:22]  Un baloncesto de traje.
[0:04:22 ->  0:04:24]  Creo que es un baloncesto de ropa.
[0:04:24 ->  0:04:25]  No se desvanezca.
[0:04:25 ->  0:04:28]  ¿Estás haciendo que se demore más?
[0:04:29 ->  0:04:31]  Estamos intentando.
[0:04:31 ->  0:04:33]  Es como un pequeño baloncesto.
[0:04:33 ->  0:04:34]  Un centímetro más.
[0:04:34 ->  0:04:35]  Está desvaneciendo.
[0:04:35 ->  0:04:37]  Sí, el otro no va a...
[0:04:37 ->  0:04:39]  Hacedlo desvanecer.
[0:04:39 ->  0:04:41]  Es un profesional.
[0:04:41 ->  0:04:43]  Ahora lo está poniendo.
[0:04:43 ->  0:04:45]  Lo hice antes hoy.
[0:04:45 ->  0:04:46]  Lo hice en animación.
[0:04:46 ->  0:04:48]  ¿Lo hiciste? ¿Solo para nosotros?
[0:04:48 ->  0:04:49]  No, para una clase.
[0:04:49 ->  0:04:52]  Estoy en una nueva clase de media y estoy haciendo animación.
[0:04:52 ->  0:04:54]  Quiero entrar en ese cuarto de cera que tenéis.
[0:04:54 ->  0:04:57]  Creo que podríamos querer más de estos equipos.
[0:04:57 ->  0:04:59]  Más luces de glas.
[0:04:59 ->  0:05:01]  Sí, podría ser.
[0:05:01 ->  0:05:03]  Y que se sigan pasando a la vez.
[0:05:03 ->  0:05:04]  Para la próxima vez.
[0:05:04 ->  0:05:07]  No es tan lento pasar por todo el tren de chicas.
[0:05:07 ->  0:05:09]  ¿Y una vez terminaste de tomar fotos?
[0:05:09 ->  0:05:11]  Sí, lo que hice fue...
[0:05:11 ->  0:05:14]  Estábamos aquí y salí.
[0:05:14 ->  0:05:17]  Eso te lleva a la línea de tiempo.
[0:05:17 ->  0:05:19]  Y yo solo miré de vuelta al principio.
[0:05:19 ->  0:05:21]  Y puse play.
[0:05:21 ->  0:05:22]  Bounce.
[0:05:22 ->  0:05:24]  Eso es genial.
[0:05:24 ->  0:05:27]  Y si quieres exportarlo como lo tengo aquí,
[0:05:27 ->  0:05:28]  vas a...
[0:05:28 ->  0:05:30]  ¿Puedo cambiar la velocidad?
[0:05:30 ->  0:05:33]  Sí, puedes hacer una diferencia de frase.
[0:05:33 ->  0:05:38]  Lo puse en este para que se vea mejor en sus fotos.
[0:05:38 ->  0:05:41]  La dura más.
[0:05:41 ->  0:05:44]  Es el más lento que se puede ajustar.
[0:05:45 ->  0:05:47]  ¿Lo guardas en tu...
[0:05:47 ->  0:05:48]  En los ajustes.
[0:05:48 ->  0:05:49]  Sí.
[0:05:49 ->  0:05:51]  Y luego puedes...
[0:05:51 ->  0:05:53]  Es el mismo, ¿verdad?
[0:05:53 ->  0:05:55]  Sí, tienes la aplicación.
[0:05:55 ->  0:05:58]  Hay uno llamado Pro, pero no lo hice.
[0:05:58 ->  0:06:00]  Aquí, sí.
[0:06:00 ->  0:06:03]  La velocidad de frase es 5 por segundo.
[0:06:03 ->  0:06:06]  Puedes cambiarlo a 1 frase por segundo si quieres.
[0:06:06 ->  0:06:08]  Así que lo tengo a 5 por segundo.
[0:06:08 ->  0:06:10]  En el video, cuando vas a los películas,
[0:06:10 ->  0:06:13]  es normalmente 30 o 60 frases por segundo.
[0:06:13 ->  0:06:16]  ¿Es suficiente para añadir voz?
[0:06:16 ->  0:06:17]  Sí, sí.
[0:06:17 ->  0:06:19]  Pero eso fue a través del PowerPoint.
[0:06:20 ->  0:06:23]  Sí, lo hice a través de mi propio software.
[0:06:23 ->  0:06:27]  Pero lo puedes hacer en la aplicación si compras la versión Pro,
[0:06:27 ->  0:06:29]  que tengo.
[0:06:29 ->  0:06:30]  ¿Cuánto cuesta?
[0:06:30 ->  0:06:32]  Es como 10 dólares.
[0:06:32 ->  0:06:35]  También creo que puede ser valioso si quieres trabajar en el computador.
[0:06:35 ->  0:06:37]  Cuando añades cosas, puede...
[0:06:37 ->  0:06:40]  Sí, también si quieren añadir audio,
[0:06:40 ->  0:06:43]  pueden grabarlo separadamente y yo lo pongo ahí para ellos.
[0:06:43 ->  0:06:44]  ¿O en el PowerPoint?
[0:06:44 ->  0:06:45]  O yo puedo...
[0:06:45 ->  0:06:46]  iMovie, o como...
[0:06:46 ->  0:06:48]  Sí, iMovie es gratis.
[0:06:48 ->  0:06:50]  Hay uno en Windows que no recuerdo el nombre.
[0:06:50 ->  0:06:52]  Es como Media o algo.
[0:06:52 ->  0:06:54]  ¿Cómo lo harías?
[0:06:54 ->  0:06:57]  Cada vez que lo cargas en iMovie,
[0:06:57 ->  0:07:00]  puedes sentir el monstruo saliendo de la computadora.
[0:07:00 ->  0:07:02]  ¿Cómo lo haríamos?
[0:07:02 ->  0:07:05]  En teoría, podríamos usar sus computadoras,
[0:07:05 ->  0:07:08]  usar su aplicación de Windows que les permite editar videos.
[0:07:08 ->  0:07:11]  Hay una gratis que viene con cada Windows PC.
[0:07:11 ->  0:07:12]  En Windows.
[0:07:12 ->  0:07:13]  Sí, sí.
[0:07:13 ->  0:07:14]  Sí, en PC.
[0:07:14 ->  0:07:16]  Sí, en PC o Mac.
[0:07:16 ->  0:07:18]  Cada uno tiene su propio...
[0:07:18 ->  0:07:21]  Sí, porque si lo pongo en el PowerPoint no va a funcionar.
[0:07:21 ->  0:07:22]  No, no.
[0:07:22 ->  0:07:24]  Todo lo que hace mi computadora es en Windows.
[0:07:24 ->  0:07:25]  Cada vez.
[0:07:25 ->  0:07:28]  Hay un software, Media o algo.
[0:07:32 ->  0:07:35]  Tendríamos que ver si podemos hacerlo en los iPads que tenemos.
[0:07:35 ->  0:07:36]  Sí.
[0:07:36 ->  0:07:38]  Bueno, si tenemos iPads...
[0:07:38 ->  0:07:42]  Y si podemos descargar esta aplicación para que los niños tengan una independencia.
[0:07:42 ->  0:07:45]  Sería bueno para ellos navegar el programa.
[0:07:46 ->  0:07:47]  Por supuesto.
[0:07:47 ->  0:07:51]  Si queremos ponerla en los iPads, podemos hacer iMovie en ellos también.
[0:07:51 ->  0:07:54]  Quizás necesitamos comprar un par más de estos.
[0:07:54 ->  0:07:55]  Estos son caros.
[0:07:55 ->  0:07:56]  Tres, quizás.
[0:07:56 ->  0:07:57]  Tener tres.
[0:08:00 ->  0:08:05]  La profesora está haciendo películas con los niños de la sede.
[0:08:05 ->  0:08:07]  Hicieron un diorama.
[0:08:07 ->  0:08:09]  Pero tiene...
[0:08:10 ->  0:08:11]  ¿Qué es?
[0:08:11 ->  0:08:12]  ¿La profesora de arte?
[0:08:12 ->  0:08:13]  Ah, la profesora de arte.
[0:08:13 ->  0:08:14]  La profesora de arte.
[0:08:14 ->  0:08:16]  Y tiene como unos atriles para el iPad.
[0:08:16 ->  0:08:18]  Entonces el iPad está fijo.
[0:08:18 ->  0:08:23]  Y los alumnos tenían su diorama, su cajita.
[0:08:23 ->  0:08:25]  Entonces tienen el iPad enfrente de ellos.
[0:08:25 ->  0:08:26]  Entonces eso se arregló.
[0:08:26 ->  0:08:28]  En vez del vidrio, es una alternativa también.
[0:08:28 ->  0:08:30]  Tienes como una situación.
[0:08:30 ->  0:08:31]  Como un cartón.
[0:08:31 ->  0:08:35]  Y es 3D, pero hacen como estos dividers para probar.
[0:08:35 ->  0:08:36]  ¿Sabes?
[0:08:36 ->  0:08:38]  Eso solo y luego crearon una escena.
[0:08:38 ->  0:08:40]  Y luego, porque el iPad se arregló,
[0:08:40 ->  0:08:42]  movieron cosas alrededor.
[0:08:42 ->  0:08:44]  Era 3D, podía ser clay.
[0:08:44 ->  0:08:46]  Entonces en vez de montar, era como...
[0:08:46 ->  0:08:47]  Es como una montaña.
[0:08:47 ->  0:08:48]  Entonces eso también es una alternativa.
[0:08:48 ->  0:08:50]  Si estás trabajando con iPads.
[0:08:50 ->  0:08:52]  Si tienes como una estampa para el iPad.
[0:08:52 ->  0:08:53]  Sí.
[0:08:53 ->  0:08:54]  Solo dejas el iPad.
[0:08:54 ->  0:08:55]  Podemos mirar el iPad.
[0:08:55 ->  0:08:56]  ¿Y qué es lo que usó?
[0:08:56 ->  0:08:58]  ¿Usó fotografías como estas?
[0:08:58 ->  0:09:00]  No, los alumnos estaban trabajando en el diorama.
[0:09:00 ->  0:09:02]  Entonces construyeron cosas con clay.
[0:09:02 ->  0:09:03]  Construyeron una escena.
[0:09:03 ->  0:09:04]  ¿Pero no con fotografías?
[0:09:04 ->  0:09:06]  Sí, pero hicieron una estación de acción.
[0:09:06 ->  0:09:09]  Ah, entonces hicieron esto, pero lo pusieron en el modelo.
[0:09:09 ->  0:09:10]  No es interesante.
[0:09:10 ->  0:09:11]  Era como 3D.
[0:09:11 ->  0:09:13]  Pero estoy pensando en la logística,
[0:09:13 ->  0:09:15]  ya que mencionaste a los iPads.
[0:09:15 ->  0:09:17]  Y los iPads son más pesados.
[0:09:17 ->  0:09:18]  Si puedes...
[0:09:18 ->  0:09:20]  Tienes un iPad.
[0:09:20 ->  0:09:22]  Pero necesitarías, como ella decía,
[0:09:22 ->  0:09:24]  necesitarías algo para la estación.
[0:09:24 ->  0:09:26]  Porque cuando hice esto, no usé la estampa.
[0:09:26 ->  0:09:29]  Tenía una estampa de teléfono que lo agarraba así con luz.
[0:09:29 ->  0:09:31]  Y así funciona.
[0:09:31 ->  0:09:33]  Pero necesitaríamos teléfonos entonces.
[0:09:33 ->  0:09:36]  Pero si podemos usar los iPads para capturar.
[0:09:36 ->  0:09:37]  Ya los tienes.
[0:09:38 ->  0:09:40]  Sí, los puedes usar con esto.
[0:09:40 ->  0:09:42]  Con el teléfono de la estampa.
[0:09:42 ->  0:09:44]  O si quieres un montón de casas.
[0:09:44 ->  0:09:48]  No sé si querrías comprar un montón de casas para iPads antiguos.
[0:09:48 ->  0:09:49]  Estos son casas antiguas.
[0:09:49 ->  0:09:51]  Son como algo así.
[0:09:51 ->  0:09:52]  Como un tripod.
[0:09:52 ->  0:09:53]  Como un pequeño...
[0:09:53 ->  0:09:54]  ¿Un tripod?
[0:09:54 ->  0:09:55]  ¿Un tripod?
[0:09:55 ->  0:09:56]  Pero no es...
[0:09:56 ->  0:09:57]  ¿Un clave?
[0:09:57 ->  0:09:59]  No, literalmente se ve así.
[0:09:59 ->  0:10:01]  Y luego agarras el iPad.
[0:10:01 ->  0:10:02]  Así que es como...
[0:10:02 ->  0:10:03]  ¿Es un cable?
[0:10:03 ->  0:10:05]  Casi como una L, pero...
[0:10:05 ->  0:10:06]  Como un...
[0:10:06 ->  0:10:07]  Pero es comprado.
[0:10:07 ->  0:10:09]  Sí, lo podemos montar ahí.
[0:10:09 ->  0:10:11]  No sé si estará...
[0:10:11 ->  0:10:12]  Tengo uno en mi mesa.
[0:10:12 ->  0:10:13]  Es como una mesa.
[0:10:13 ->  0:10:14]  Es un rasero.
[0:10:14 ->  0:10:16]  Rasera lo que tú estás trabajando en.
[0:10:16 ->  0:10:17]  Como si querías tu laptop.
[0:10:17 ->  0:10:18]  Puedes ajustarlo.
[0:10:19 ->  0:10:22]  Déjame ir a ver si hay otra trabajadora aquí.
[0:10:22 ->  0:10:23]  Ella está aquí.
[0:10:23 ->  0:10:25]  Ella hace un montón.
[0:10:25 ->  0:10:27]  A ver si puedo comprar uno.
[0:10:28 ->  0:10:29]  Gracias.
[0:10:29 ->  0:10:30]  Gracias, Joe.
[0:10:30 ->  0:10:32]  Sí, gracias.
[0:10:32 ->  0:10:34]  Fue muy divertido.
[0:10:34 ->  0:10:35]  Fue genial.
[0:10:35 ->  0:10:40]  Si, porque si usamos el stand para eso, pero no tendríamos que comprar el plástico.
[0:10:40 ->  0:10:41]  Sí, pero...
[0:10:41 ->  0:10:42]  Pero luego sería como...
[0:10:42 ->  0:10:44]  Pero no es tan barato.
[0:10:44 ->  0:10:46]  Pero tendríamos que comprar el stand.
[0:10:46 ->  0:10:51]  Yo estaba pensando, porque he hecho esto con stand antes, con...
[0:10:51 ->  0:10:57]  Con montajes específicos que te dejan tener un brazo largo con que ver hacia abajo, pero esos son caros.
[0:10:57 ->  0:10:59]  Sí, más caros que estos.
[0:10:59 ->  0:11:01]  Estos son $20 para eso, sí.
[0:11:05 ->  0:11:07]  Ok, genial.
[0:11:07 ->  0:11:11]  Bueno, pero no hay investigadores para los stand.
[0:11:11 ->  0:11:20]  Tenemos en la parte de cosas, en TC, tenemos clamps que usamos para animación 3D.
[0:11:20 ->  0:11:25]  Es como una vaca que se ataca al teléfono.
[0:11:25 ->  0:11:28]  Tenemos cuatro de esos y no creo que podamos comprar uno.
[0:11:30 ->  0:11:34]  Creo que sería más fácil hacer más de estos.
[0:11:35  ->  0:11:37]  Hacer tres de estos stand.
[0:11:37  ->  0:11:38]  Tres más o tres en dólar?
[0:11:38  ->  0:11:39]  Cuatro en dólar.
[0:11:39  ->  0:11:41]  Sí, eso debería ser suficiente.
[0:11:41  ->  0:11:43]  Así que podemos comprar al mismo tiempo.
[0:11:43  ->  0:11:44]  Cuántos?
[0:11:44  ->  0:11:49]  Porque tenemos que ir... mañana tienes dos stand ya, ¿verdad?
[0:11:49  ->  0:11:51]  El plan para mañana es seis.
[0:11:51  ->  0:11:54]  Sí, esta es la repetición de la semana pasada.
[0:11:54  ->  0:12:00]  Sí, así que la única cosa es que no tenemos...
[0:12:00 ->  0:12:07]  Estábamos pensando en mostrar una animación de un ejemplo.
[0:12:07 ->  0:12:14]  Que es un poco más dirigida hacia el proyecto final.
[0:12:16 ->  0:12:17]  ¿Mañana?
[0:12:17 ->  0:12:20]  No, mañana vamos a seguir trabajando en el mismo centro.
[0:12:20 ->  0:12:23]  Sí, pero sería en los mismos centros.
[0:12:23 ->  0:12:25]  Pero mi estación sería en lugar de...
[0:12:25 ->  0:12:27]  ¿Estamos hablando de...?
[0:12:27 ->  0:12:28]  Una animación.
[0:12:28 ->  0:12:33]  Una animación para que puedan ver un ejemplo de lo que van a hacer en la línea.
[0:12:35 ->  0:12:40]  Pero he aprendido ahora y no puedo hacer una hoy.
[0:12:40 ->  0:12:44]  Así que puedo pivotar por mi estación, eso es totalmente bien.
[0:12:44 ->  0:12:47]  Pero sí, sería una repetición de la semana pasada.
[0:12:47 ->  0:12:51]  Sería bueno para crear una animación para introducirla antes.
[0:12:51 ->  0:12:55]  Sí, ese fue el punto también, para poder también...
[0:12:55 ->  0:13:00]  Para que podamos saber y también para que tengamos uno o dos para mostrarles.
[0:13:00 ->  0:13:04]  Para que tengan una sensación de nuestro proyecto final y también para ser honestos.
[0:13:04 ->  0:13:10]  Así que creo que para mí es mucho más fácil planear si sé a qué estamos trabajando.
[0:13:10 ->  0:13:15]  Pero podría ser bueno que no empecemos eso mañana porque luego tendremos esa pausa.
[0:13:15 ->  0:13:16]  Sí, es verdad.
[0:13:16 ->  0:13:19]  Y luego no vamos a poder ir a cuatro grupos o cinco.
[0:13:19 ->  0:13:21]  Es verdad y funciona.
[0:13:21 ->  0:13:23]  La próxima semana vamos a ir a Wapu y volveremos.
[0:13:24 ->  0:13:26]  Estamos en el Estado de Nueva York.
[0:13:26 ->  0:13:30]  Y luego el martes queremos ir a la Comunidad de Wapu.
[0:13:30 ->  0:13:33]  Sí, así que queríamos hablar con ustedes también.
[0:13:33 ->  0:13:38]  Estábamos pensando en ir en grupos pequeños, caminando por el barrio.
[0:13:38 ->  0:13:40]  No sé si eso...
[0:13:40 ->  0:13:41]  Para capturar...
[0:13:41 ->  0:13:46]  Para la animación que se conecte a sus experiencias.
[0:13:46 ->  0:13:48]  Yo he hecho un test con María y Tom.
[0:13:48 ->  0:13:51]  Dijeron que está bien, mientras mantenemos la balanza.
[0:13:51 ->  0:13:54]  No necesitamos un consentimiento o nada.
[0:13:54 ->  0:13:56]  Un formulario de permiso.
[0:13:56 ->  0:13:58]  Porque es algo sobre la comunidad.
[0:13:58 ->  0:14:01]  No estamos tomando transporte público o nada.
[0:14:01 ->  0:14:05]  Dijeron que se lo hicieron por todo el año.
[0:14:05 ->  0:14:07]  Que estaba bien.
[0:14:07 ->  0:14:10]  Entonces en el flyer que no han visto.
[0:14:11 ->  0:14:14]  Tenemos ese día que es el camino de la comunidad.
[0:14:14 ->  0:14:17]  Pero los niños no, porque Sabé me estaba diciendo hoy...
[0:14:17 ->  0:14:20]  Porque no pude hablar con su mamá ayer.
[0:14:20 ->  0:14:22]  No le envió un e-mail y dijo hoy...
[0:14:22 ->  0:14:25]  ¿Podemos ir a caminar por la comunidad?
[0:14:25 ->  0:14:27]  Cuando vamos a caminar por la comunidad.
[0:14:27 ->  0:14:29]  No es una buena idea.
[0:14:29 ->  0:14:32]  No sé, quiénes quieren que los padres estén ahí.
[0:14:33 ->  0:14:35]  Sí, algunos de los padres obviamente...
[0:14:35 ->  0:14:36]  Probablemente...
[0:14:36 ->  0:14:38]  Como sé, al menos en mi clase,
[0:14:38 ->  0:14:41]  siento que cualquier vez que decimos que vamos a un viaje de campo,
[0:14:41 ->  0:14:43]  o nos dejamos los niños en algún lugar, los padres quieren venir.
[0:14:43 ->  0:14:45]  Si dice camino de la comunidad, que están invitados.
[0:14:45 ->  0:14:47]  Sí, es verdad.
[0:14:47 ->  0:14:49]  Y también creo que algunos padres...
[0:14:49 ->  0:14:51]  Los bienvenidos.
[0:14:51 ->  0:14:53]  ¿Tenemos un plan para martes?
[0:14:53 ->  0:14:56]  ¿También queremos enviar cámaras a casa?
[0:14:56 ->  0:14:58]  ¿Hemos pensado en enviar cámaras a casa?
[0:14:58 ->  0:15:00]  Creo que no lo íbamos a hacer.
[0:15:00 ->  0:15:02]  Yo creo que el plan era
[0:15:02 ->  0:15:05]  dejar que las cámaras se muevan.
[0:15:05 ->  0:15:07]  Y llevarlas de vuelta.
[0:15:07 ->  0:15:09]  Porque las llevar de vuelta es...
[0:15:09 ->  0:15:11]  Es en el comienzo.
[0:15:11 ->  0:15:13]  Sí, sí, se mueven.
[0:15:14 ->  0:15:16]  Sí, mientras estén con nosotros.
[0:15:16 ->  0:15:18]  Entonces vamos en grupos pequeños.
[0:15:18 ->  0:15:21]  Así que tengan la agencia para decidir qué captar.
[0:15:21 ->  0:15:23]  No es solo una foto que tengas.
[0:15:23 ->  0:15:24]  Sí, sí.
[0:15:24 ->  0:15:25]  O un vídeo del dispositivo.
[0:15:25 ->  0:15:27]  Esa es una buena idea.
[0:15:27 ->  0:15:28]  OK, genial.
[0:15:28 ->  0:15:31]  Entonces necesitamos las cámaras con los nombres de los niños
[0:15:31 ->  0:15:33]  para que sepan quiénes van a qué lugar.
[0:15:33 ->  0:15:35]  Eso será el martes.
[0:15:35 ->  0:15:37]  Entonces necesitamos tener algo aquí.
[0:15:37 ->  0:15:40]  Entonces... ¿Estamos todos iremos juntos?
[0:15:40 ->  0:15:42]  Entonces empezamos aquí, hacemos una breve introducción.
[0:15:42 ->  0:15:44]  Y luego todos vamos en grupos pequeños.
[0:15:44 ->  0:15:46]  Como dos adultos en grupos pequeños.
[0:15:48 ->  0:15:49]  ¿Es ese el plan que tenemos?
[0:15:49 ->  0:15:50]  Yo creo que sí.
[0:15:50 ->  0:15:51]  No lo tenemos.
[0:15:51 ->  0:15:54]  Porque no tenemos un plan.
[0:15:54 ->  0:15:56]  No es una sesión de Well's.
[0:15:56 ->  0:15:58]  Sí, sí. Me pidió que comprara papel origami.
[0:15:58 ->  0:16:00]  Él quiere hacer origami.
[0:16:00 ->  0:16:02]  Pensé que era una introducción.
[0:16:02 ->  0:16:04]  ¿Qué tal si podemos crear con origami?
[0:16:04 ->  0:16:07]  Podemos crear adiciones a las fotografías.
[0:16:07 ->  0:16:09]  Como las fotografías o...
[0:16:09 ->  0:16:11]  ¿O podemos hacer con origami?
[0:16:11 ->  0:16:13]  O podemos hacer con origami.
[0:16:13 ->  0:16:15]  Manuel quiere hacer origami.
[0:16:15 ->  0:16:17]  Sé que podemos hablar con Manuel.
[0:16:17 ->  0:16:19]  No sé si estamos reuniendo este viernes.
[0:16:19 ->  0:16:20]  Sí, estamos reuniendo.
[0:16:20 ->  0:16:21]  Este viernes.
[0:16:21 ->  0:16:22]  Sí.
[0:16:22 ->  0:16:25]  Pero si tenemos que... No sé si sería genial.
[0:16:25 ->  0:16:27]  Entonces lo discutimos el viernes.
[0:16:27 ->  0:16:28]  Tienes el viernes, estás bien.
[0:16:28 ->  0:16:31]  Pero las mapas, como tener una mapa que hacemos
[0:16:31 ->  0:16:33]  y ciertas cosas que queremos hacer.
[0:16:33 ->  0:16:35]  Pero tal vez los niños también tengan sugerencias,
[0:16:35 ->  0:16:36]  pero podemos hacer una ruta.
[0:16:36 ->  0:16:37]  Sí, me gustaría.
[0:16:38 ->  0:16:40]  Y me gustaría que...
[0:16:40 ->  0:16:42]  Recuerdo que dijimos que
[0:16:42 ->  0:16:44]  ya que son muchos adultos,
[0:16:44 ->  0:16:46]  podemos tener un pequeño grupo,
[0:16:46 ->  0:16:48]  así que cuatro o cinco niños,
[0:16:48 ->  0:16:50]  y luego decidir la parte de la mapa
